scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,3213,24000,0
1,1950.899451,0.000000,0.000000,0.000000,0.000102,0.000000,0.000000,0.000000,0.000102,nan,nan,nan,nan,nan,nan,-1,stationary,3819,24000,0
2,1950.999297,0.000000,0.000000,0.000000,0.000144,0.000000,0.000000,0.000000,0.000144,nan,nan,nan,nan,nan,nan,-1,stationary,3978,24000,0
3,1951.099944,0.000000,0.000000,0.000000,0.000325,0.000000,0.000000,0.000000,0.000325,nan,nan,nan,nan,nan,nan,-1,stationary,4066,24000,0
4,1951.199783,0.000000,0.000000,0.000000,0.000395,0.000000,0.000000,0.000000,0.000395,nan,nan,nan,nan,nan,nan,-1,stationary,4127,24000,0
5,1951.299620,0.000000,0.000000,0.000000,0.000445,0.000000,0.000000,0.000000,0.000445,nan,nan,nan,nan,nan,nan,-1,stationary,4188,24000,0
6,1951.399467,0.000000,0.000000,0.000000,0.000573,0.000000,0.000000,0.000000,0.000573,nan,nan,nan,nan,nan,nan,-1,stationary,4236,24000,0
7,1951.499323,0.000000,0.000000,0.000000,0.000644,0.000000,0.000000,0.000000,0.000644,nan,nan,nan,nan,nan,nan,-1,stationary,4279,24000,0
8,1951.599967,0.000000,0.000000,0.000000,0.000695,0.000000,0.000000,0.000000,0.000695,nan,nan,nan,nan,nan,nan,-1,stationary,4322,24000,0
9,1951.699814,0.000000,0.000000,0.000000,0.000743,0.000000,0.000000,0.000000,0.000743,nan,nan,nan,nan,nan,nan,-1,stationary,4370,24000,0
10,1951.799651,0.000000,-0.000003,0.000002,0.000747,0.000000,-0.000003,0.000002,0.000747,nan,nan,nan,nan,nan,nan,-1,stationary,3293,24000,0
11,1951.899477,-0.000004,-0.000008,0.000002,0.000735,-0.000004,-0.000008,0.000002,0.000735,nan,nan,nan,nan,nan,nan,-1,stationary,3910,24000,0
12,1951.999327,-0.000007,-0.000012,0.000004,0.000694,-0.000007,-0.000012,0.000004,0.000694,nan,nan,nan,nan,nan,nan,-1,stationary,4085,24000,0
13,1952.099978,-0.000007,-0.000015,0.000006,0.000670,-0.000007,-0.000015,0.000006,0.000670,nan,nan,nan,nan,nan,nan,-1,stationary,4172,24000,0
14,1952.199821,-0.000009,-0.000021,0.000005,0.000660,-0.000009,-0.000021,0.000005,0.000660,nan,nan,nan,nan,nan,nan,-1,stationary,4239,24000,0
15,1952.299657,-0.000006,-0.000022,0.000010,0.000740,-0.000006,-0.000022,0.000010,0.000740,nan,nan,nan,nan,nan,nan,-1,stationary,4296,24000,0
16,1952.399498,-0.000006,-0.000022,0.000010,0.000753,-0.000006,-0.000022,0.000010,0.000753,nan,nan,nan,nan,nan,nan,-1,stationary,4334,24000,0
17,1952.499356,-0.000005,-0.000021,0.000010,0.000734,-0.000005,-0.000021,0.000010,0.000734,nan,nan,nan,nan,nan,nan,-1,stationary,4358,24000,0
18,1952.599997,-0.000004,-0.000021,0.000011,0.000676,-0.000004,-0.000021,0.000011,0.000676,nan,nan,nan,nan,nan,nan,-1,stationary,4386,24000,0
19,1952.699828,-0.000003,-0.000018,0.000015,0.000686,-0.000003,-0.000018,0.000015,0.000686,nan,nan,nan,nan,nan,nan,-1,stationary,4411,24000,0
20,1952.799667,-0.000004,-0.000015,0.000019,0.000668,-0.000004,-0.000015,0.000019,0.000668,nan,nan,nan,nan,nan,nan,-1,stationary,4398,24000,0
21,1952.899509,-0.000010,-0.000019,0.000023,0.000687,-0.000010,-0.000019,0.000023,0.000687,nan,nan,nan,nan,nan,nan,-1,stationary,4460,24000,0
22,1952.999356,-0.000011,-0.000024,0.000025,0.000679,-0.000011,-0.000024,0.000025,0.000679,nan,nan,nan,nan,nan,nan,-1,stationary,4524,24000,0
23,1953.099604,-0.000010,-0.000026,0.000027,0.000681,-0.000010,-0.000026,0.000027,0.000681,nan,nan,nan,nan,nan,nan,-1,stationary,4563,24000,0
24,1953.199446,-0.000007,-0.000028,0.000025,0.000625,-0.000007,-0.000028,0.000025,0.000625,nan,nan,nan,nan,nan,nan,-1,stationary,4588,24000,0
25,1953.299291,-0.000005,-0.000025,0.000027,0.000355,-0.000005,-0.000025,0.000027,0.000355,nan,nan,nan,nan,nan,nan,-1,stationary,4606,24000,0
26,1953.399912,-0.000010,-0.000034,0.000032,0.000570,-0.000010,-0.000034,0.000032,0.000570,nan,nan,nan,nan,nan,nan,-1,stationary,4618,24000,0
27,1953.499759,-0.000034,-0.000037,0.000036,0.000622,-0.000034,-0.000037,0.000036,0.000622,nan,nan,nan,nan,nan,nan,-1,stationary,4627,24000,0
28,1953.599598,-0.000024,-0.000022,0.000036,0.000469,-0.000024,-0.000022,0.000036,0.000469,nan,nan,nan,nan,nan,nan,-1,stationary,4637,24000,0
29,1953.699431,-0.000017,-0.000029,0.000036,0.000601,-0.000017,-0.000029,0.000036,0.000601,nan,nan,nan,nan,nan,nan,-1,stationary,4644,24000,0
30,1953.799668,-0.000024,-0.000040,0.000038,0.000608,-0.000024,-0.000040,0.000038,0.000608,nan,nan,nan,nan,nan,nan,-1,stationary,4651,24000,0
31,1953.899504,-0.000013,-0.000032,0.000037,0.000500,-0.000013,-0.000032,0.000037,0.000500,nan,nan,nan,nan,nan,nan,-1,stationary,4660,24000,0
32,1953.999350,-0.000012,-0.000041,0.000042,0.000515,-0.000012,-0.000041,0.000042,0.000515,nan,nan,nan,nan,nan,nan,-1,stationary,4676,24000,0
33,1954.099600,-0.000018,-0.000043,0.000046,0.000452,-0.000018,-0.000043,0.000046,0.000452,nan,nan,nan,nan,nan,nan,-1,stationary,4708,24000,0
34,1954.199424,-0.000012,-0.000045,0.000036,0.000576,-0.000012,-0.000045,0.000036,0.000576,nan,nan,nan,nan,nan,nan,-1,stationary,4753,24000,0
35,1954.299665,-0.000024,-0.000042,0.000037,0.000630,-0.000024,-0.000042,0.000037,0.000630,nan,nan,nan,nan,nan,nan,-1,stationary,4797,24000,0
