scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,3270,24000,0
1,1951.899477,-0.000002,-0.000001,0.000001,-0.000053,-0.000002,-0.000001,0.000001,-0.000053,nan,nan,nan,nan,nan,nan,-1,stationary,3889,24000,0
2,1951.999327,0.000000,-0.000001,0.000002,-0.000094,0.000000,-0.000001,0.000002,-0.000094,nan,nan,nan,nan,nan,nan,-1,stationary,4076,24000,0
3,1952.099978,-0.000001,-0.000003,0.000003,-0.000069,-0.000001,-0.000003,0.000003,-0.000069,nan,nan,nan,nan,nan,nan,-1,stationary,4157,24000,0
4,1952.199821,-0.000004,-0.000009,0.000002,-0.000078,-0.000004,-0.000009,0.000002,-0.000078,nan,nan,nan,nan,nan,nan,-1,stationary,4226,24000,0
5,1952.299657,-0.000004,-0.000015,0.000008,-0.000054,-0.000004,-0.000015,0.000008,-0.000054,nan,nan,nan,nan,nan,nan,-1,stationary,4282,24000,0
6,1952.399498,-0.000004,-0.000017,0.000009,0.000063,-0.000004,-0.000017,0.000009,0.000063,nan,nan,nan,nan,nan,nan,-1,stationary,4317,24000,0
7,1952.499356,-0.000006,-0.000018,0.000010,0.000102,-0.000006,-0.000018,0.000010,0.000102,nan,nan,nan,nan,nan,nan,-1,stationary,4343,24000,0
8,1952.599997,-0.000005,-0.000017,0.000011,0.000025,-0.000005,-0.000017,0.000011,0.000025,nan,nan,nan,nan,nan,nan,-1,stationary,4371,24000,0
9,1952.699828,-0.000006,-0.000015,0.000014,0.000015,-0.000006,-0.000015,0.000014,0.000015,nan,nan,nan,nan,nan,nan,-1,stationary,4394,24000,0
10,1952.799667,-0.000006,-0.000013,0.000015,0.000012,-0.000006,-0.000013,0.000015,0.000012,nan,nan,nan,nan,nan,nan,-1,stationary,4433,24000,0
11,1952.899509,-0.000006,-0.000014,0.000013,0.000020,-0.000006,-0.000014,0.000013,0.000020,nan,nan,nan,nan,nan,nan,-1,stationary,4493,24000,0
12,1952.999356,-0.000008,-0.000017,0.000017,0.000032,-0.000008,-0.000017,0.000017,0.000032,nan,nan,nan,nan,nan,nan,-1,stationary,4553,24000,0
13,1953.099604,-0.000008,-0.000018,0.000018,0.000034,-0.000008,-0.000018,0.000018,0.000034,nan,nan,nan,nan,nan,nan,-1,stationary,4593,24000,0
14,1953.199446,-0.000005,-0.000019,0.000017,-0.000021,-0.000005,-0.000019,0.000017,-0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,4613,24000,0
15,1953.299291,-0.000011,-0.000016,0.000020,-0.000201,-0.000011,-0.000016,0.000020,-0.000201,nan,nan,nan,nan,nan,nan,-1,stationary,4630,24000,0
16,1953.399912,0.000007,-0.000024,0.000018,-0.000351,0.000007,-0.000024,0.000018,-0.000351,nan,nan,nan,nan,nan,nan,-1,stationary,4644,24000,0
17,1953.499759,-0.000021,-0.000036,0.000026,-0.000085,-0.000021,-0.000036,0.000026,-0.000085,nan,nan,nan,nan,nan,nan,-1,stationary,4657,24000,0
18,1953.599598,-0.000013,-0.000019,0.000025,-0.000237,-0.000013,-0.000019,0.000025,-0.000237,nan,nan,nan,nan,nan,nan,-1,stationary,4677,24000,0
19,1953.699431,-0.000008,-0.000025,0.000026,-0.000105,-0.000008,-0.000025,0.000026,-0.000105,nan,nan,nan,nan,nan,nan,-1,stationary,4683,24000,0
20,1953.799668,-0.000014,-0.000031,0.000028,-0.000178,-0.000014,-0.000031,0.000028,-0.000178,nan,nan,nan,nan,nan,nan,-1,stationary,4582,24000,0
21,1953.899504,-0.000009,-0.000027,0.000029,-0.000198,-0.000009,-0.000027,0.000029,-0.000198,nan,nan,nan,nan,nan,nan,-1,stationary,4590,24000,0
22,1953.999350,-0.000011,-0.000036,0.000035,-0.000195,-0.000011,-0.000036,0.000035,-0.000195,nan,nan,nan,nan,nan,nan,-1,stationary,4609,24000,0
23,1954.099600,-0.000017,-0.000037,0.000039,-0.000257,-0.000017,-0.000037,0.000039,-0.000257,nan,nan,nan,nan,nan,nan,-1,stationary,4638,24000,0
24,1954.199424,-0.000016,-0.000034,0.000040,-0.000088,-0.000016,-0.000034,0.000040,-0.000088,nan,nan,nan,nan,nan,nan,-1,stationary,4680,24000,0
25,1954.299665,-0.000014,-0.000033,0.000040,-0.000111,-0.000014,-0.000033,0.000040,-0.000111,nan,nan,nan,nan,nan,nan,-1,stationary,4723,24000,0
26,1954.399500,-0.000002,-0.000044,0.000041,-0.000041,-0.000002,-0.000044,0.000041,-0.000041,nan,nan,nan,nan,nan,nan,-1,stationary,4735,24000,0
27,1954.499329,-0.000012,-0.000047,0.000044,-0.000028,-0.000012,-0.000047,0.000044,-0.000028,nan,nan,nan,nan,nan,nan,-1,stationary,4741,24000,0
28,1954.599970,-0.000013,-0.000043,0.000050,-0.000036,-0.000013,-0.000043,0.000050,-0.000036,nan,nan,nan,nan,nan,nan,-1,stationary,4751,24000,0
29,1954.699816,-0.000014,-0.000048,0.000059,0.000004,-0.000014,-0.000048,0.000059,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,4756,24000,0
30,1954.799654,-0.000018,-0.000047,0.000063,0.000076,-0.000018,-0.000047,0.000063,0.000076,nan,nan,nan,nan,nan,nan,-1,stationary,4762,24000,0
