scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,unknown,3213,24000,0
1,1950.899451,0.001662,-0.002149,-0.003711,0.000437,0.000000,0.000000,0.000000,0.000059,0.001722037620197347,-0.0021567606060300085,-0.003847936196509992,0.0004436486427355314,0.9825458090534281,0.00021979310378571025,1,unknown,3819,24000,1
2,1950.999297,0.003687,-0.001409,-0.005757,0.000239,0.001662,-0.002149,-0.003711,0.000512,0.0020854829697457204,0.0007764921975707355,-0.002165084590694593,-0.00020598503506057933,0.9744275955477847,8.068758386980156e-05,1,unknown,3989,24000,1
3,1951.099944,0.005441,-0.003178,-0.008468,0.000306,0.003687,-0.001409,-0.005757,0.000353,0.0017989844506164907,-0.0018193183008828955,-0.0028292169795327447,6.90330642278089e-05,0.9803533592110514,0.00010235949255476359,1,unknown,4102,24000,1
4,1951.199783,0.004325,-0.000464,-0.007818,-0.000157,0.005441,-0.003178,-0.008468,0.000492,-0.0011252383808502504,0.002783528130145936,0.00068243693509393,-0.0004705832108026644,0.9797608563386304,6.863970678181618e-05,1,unknown,4170,24000,1
5,1951.299620,0.005378,-0.001442,-0.008546,0.000325,0.004325,-0.000464,-0.007818,-0.000066,0.001084416324336996,-0.0010304718323590025,-0.000798667209496803,0.0004871414050652165,0.9799202489548982,3.456352459980365e-05,1,unknown,4231,24000,1
6,1951.399467,0.006655,-0.001687,-0.010638,0.000176,0.005378,-0.001442,-0.008546,0.000420,0.0013167423395730685,-0.00024519356200839544,-0.0021939993317772865,-0.00015261848224724705,0.9812900237677639,5.093535904844329e-05,1,unknown,4288,24000,1
7,1951.499323,0.007272,-0.001003,-0.010319,0.000305,0.006655,-0.001687,-0.010638,0.000188,0.0006101655900720687,0.0007779937737755633,0.000430681515352211,0.00012899714299604827,0.9785712210800747,7.724525262358946e-05,1,unknown,4340,24000,1
8,1951.599967,0.007506,0.001212,-0.009070,0.000288,0.007272,-0.001003,-0.010319,0.000382,0.0002303258676919443,0.0022709936183077425,0.0012847169795693492,-2.208408849323059e-05,0.9854336770746955,4.0358780079707483e-05,1,unknown,4391,24000,1
9,1951.699814,0.007940,0.002253,-0.009266,0.000424,0.007506,0.001212,-0.009070,0.000309,0.00045948591330178656,0.0011243426343650208,-0.00022707850164876107,0.00012639821887534217,0.9820983018857928,2.5056071179202095e-05,1,unknown,4457,24000,1
10,1951.799651,0.007931,0.002530,-0.008137,0.000364,0.007940,0.002253,-0.009266,0.000509,-1.630197141686343e-05,0.0002819705030599989,0.0011580458953803947,-6.018136777089872e-05,0.9781477424504329,9.807309562764528e-06,1,unknown,4531,24000,1
11,1951.899477,0.009617,0.003356,-0.010337,0.000070,0.007931,0.002530,-0.008137,0.000391,0.0017565188644654683,0.0008795208631221176,-0.0023428691506070676,-0.00030417160207205925,0.9732141410989315,8.852136420995885e-05,1,unknown,4580,24000,1
12,1951.999327,0.010322,0.002715,-0.011686,0.000221,0.009617,0.003356,-0.010337,0.000087,0.0008680018153513751,-0.0007437502340942722,-0.0017284546875237419,0.00016663810464601485,0.9829266697271013,0.00027159042189742037,1,unknown,4614,24000,1
13,1952.099978,0.010632,0.002286,-0.011581,0.000104,0.010322,0.002715,-0.011686,0.000320,0.00031100700524311527,-0.00043821316133996636,0.00010262225222589308,-0.0001159549266378528,0.9824835304862378,2.966566637968791e-06,1,unknown,4631,24000,1
14,1952.199821,0.011391,0.002724,-0.011890,-0.000108,0.010632,0.002286,-0.011581,0.000127,0.0008017366737277931,0.0004882187355401838,-0.00037549330365604927,-0.00022112176943678665,0.9794998420790753,2.6437093481045683e-05,1,unknown,4655,24000,1
15,1952.299657,0.010875,0.002636,-0.012422,-0.000123,0.011391,0.002724,-0.011890,0.000001,-0.0005166267229238866,-9.287214990484627e-05,-0.000546241455234615,-1.4914527022088142e-05,0.9808983230613971,6.627185535556824e-06,1,unknown,4678,24000,1
16,1952.399498,0.010098,0.001825,-0.009896,0.000690,0.010875,0.002636,-0.012422,0.000078,-0.0008230257211215997,-0.0008519132423991974,0.0026468503495447396,0.0008202698766486136,0.9805312679997692,7.956033536676766e-05,1,unknown,4711,24000,1
