scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,unknown,3213,24000,0
1,1950.899451,0.001709,-0.002149,-0.003817,0.000443,0.000000,0.000000,0.000000,0.000088,0.0017217376219246007,-0.0021571045560192137,-0.003847822230363579,0.00044372181915517355,0.9838006740092641,3.4592728312373054e-05,1,unknown,3817,24000,1
2,1950.999297,0.002775,-0.001794,-0.004900,0.000280,0.001709,-0.002149,-0.003817,0.000475,0.0021166549497596493,0.0007612665799964088,-0.0021242575005518353,-0.0002443061410622716,0.9803247676187408,0.0013851934635327793,1,unknown,3985,24000,1
3,1951.099944,0.003458,-0.002400,-0.005949,0.000255,0.002775,-0.001794,-0.004900,0.000474,0.0019934259968309486,-0.001760889871568593,-0.003091471648375011,4.061262057064644e-05,0.9838313539676162,0.0025471089567673166,1,unknown,4087,24000,1
4,1951.199783,0.003378,-0.001822,-0.006043,0.000030,0.003458,-0.002400,-0.005949,0.000334,-0.00027995986716233736,0.002251282464461468,-0.00040816696688534757,-0.00041061375316973886,0.9770786842641634,0.0012259822771319344,1,unknown,4157,24000,1
5,1951.299620,0.003679,-0.002025,-0.006383,0.000374,0.003378,-0.001822,-0.006043,0.000057,0.0014981977724276905,-0.0010931967275428136,-0.001745275918696102,0.00041861211468640844,0.9809239263484819,0.0015766717647391995,1,unknown,4216,24000,1
6,1951.399467,0.003943,-0.002151,-0.006839,0.000305,0.003679,-0.002025,-0.006383,0.000502,0.0015153591098466031,-0.0007745113836976529,-0.0026445655238226994,-5.2611203757206686e-05,0.9794660909399068,0.0016833801636272966,1,unknown,4267,24000,1
7,1951.499323,0.003976,-0.002095,-0.006862,0.000428,0.003943,-0.002151,-0.006839,0.000377,0.00021312533860895228,0.00037762835832888465,-0.00016055357098081462,8.392286861202183e-05,0.9764150748886479,4.745907787339432e-05,1,unknown,4313,24000,1
8,1951.599967,0.004080,-0.001909,-0.006852,0.000402,0.003976,-0.002095,-0.006862,0.000513,0.0007250094619069966,0.0014018944081457198,5.636896774867655e-05,-0.00016166889573547466,0.9796135720658353,0.0007725505295600903,1,unknown,4356,24000,1
9,1951.699814,0.004111,-0.001822,-0.006792,0.000844,0.004080,-0.001909,-0.006852,0.000416,0.00024728885565746764,0.000794359670198321,0.0005018985976791013,0.00037239997036961646,0.9808319897509903,0.00029224228303248093,1,unknown,4423,24000,1
10,1951.799651,0.004235,-0.001801,-0.006782,0.000669,0.004111,-0.001822,-0.006792,0.000853,0.0010509328199627766,0.0002883981509494199,4.102043022041063e-05,-0.00022244128582396972,0.9820762554924237,0.0010084755784332032,1,unknown,4494,24000,1
11,1951.899477,0.004425,-0.001708,-0.007007,0.000743,0.004235,-0.001801,-0.006782,0.000748,0.0018550604106313184,0.0011093891672176882,-0.0023844216118635115,-0.00011150094250158287,0.9811084389292243,0.0019775532098096392,1,unknown,4543,24000,1
12,1951.999327,0.004527,-0.001716,-0.007178,0.000826,0.004425,-0.001708,-0.007007,0.000757,0.0010447713963041422,-9.759486102909752e-05,-0.0018824533652694033,4.5516648055650554e-05,0.9798954907808747,0.0008081435971891391,1,unknown,4575,24000,1
13,1952.099978,0.004679,-0.001716,-0.007341,0.000788,0.004527,-0.001716,-0.007178,0.000918,0.0016268458003607421,2.6729176083188037e-05,-0.0020984081442923562,-0.00010062698574013505,0.9842354789429687,0.0014989036786349937,1,unknown,4594,24000,1
14,1952.199821,0.004763,-0.001568,-0.007294,0.000627,0.004679,-0.001716,-0.007341,0.000839,0.0007641800735611708,0.0018365148142306942,0.0003663209270805415,-0.0003428244401250802,0.9816123479179002,0.001282238431219699,1,unknown,4614,24000,1
15,1952.299657,0.004779,-0.001539,-0.007327,0.000687,0.004763,-0.001568,-0.007294,0.000737,0.00021986270624000954,0.000393487057886261,-0.00044251530827578867,7.682072643163209e-06,0.9824060843528328,7.087219004773431e-05,1,unknown,4628,24000,1
16,1952.399498,0.004822,-0.001653,-0.007300,0.001402,0.004779,-0.001539,-0.007327,0.000871,0.00028094210686589304,-0.0014031152545754496,0.0002167834970367424,0.0008462204209134042,0.9834640045121817,0.0006419768296911833,1,unknown,4648,24000,1
17,1952.499356,0.004820,-0.001732,-0.007447,0.001273,0.004822,-0.001653,-0.007300,0.001489,0.0002741282528289264,-0.0010089072540182891,-0.0020261189023402576,-8.043021947573544e-05,0.9823477499658217,0.001124304328588955,1,unknown,4667,24000,1
18,1952.599997,0.004891,-0.001793,-0.007682,0.000954,0.004820,-0.001732,-0.007447,0.001312,0.0010874361379649708,-0.0007675934097933583,-0.0033043260641009457,-0.0003270341528096943,0.9768310762819513,0.002212686762830199,1,unknown,4685,24000,1
19,1952.699828,0.005056,-0.001790,-0.007830,0.000865,0.004891,-0.001793,-0.007682,0.001002,0.0019956101354582844,0.00012589324585404347,-0.002476574044363712,-0.0001780707043894281,0.9808244310803339,0.002238910202811342,1,unknown,4693,24000,1
20,1952.799667,0.005048,-0.001778,-0.007840,0.001056,0.005056,-0.001790,-0.007830,0.000932,-4.558030762924926e-05,0.00016592672090923882,-0.00012300870566723555,0.00017246698004007088,0.9786934120107782,1.975682580180062e-05,1,unknown,4635,24000,1
21,1952.899509,0.005207,-0.001678,-0.007883,0.000983,0.005048,-0.001778,-0.007840,0.001162,0.001703355025870515,0.001504007712870422,-0.0010443672207564973,-0.0002679861593416448,0.9814066024126603,0.0020302585651703507,1,unknown,4680,24000,1
22,1952.999356,0.005345,-0.001640,-0.007995,0.001194,0.005207,-0.001678,-0.007883,0.001112,0.0015694441022221532,0.0006867182124465596,-0.0018598215161231696,7.494560499956258e-05,0.9853561181468583,0.0013832814823572877,1,unknown,4734,24000,1
23,1953.099604,0.005444,-0.001638,-0.008070,0.001107,0.005345,-0.001640,-0.007995,0.001216,0.0011396652236448281,0.00013218723513234434,-0.0013273781229615686,-0.00014613104789346342,0.9823833128397981,0.000712062492119976,1,unknown,4765,24000,1
24,1953.199446,0.005526,-0.001480,-0.008178,0.000972,0.005444,-0.001638,-0.008070,0.001063,0.0011254676416548783,0.002308899545492076,-0.0017086866703323704,-0.00041675000647438084,0.9835401647464972,0.0016989173471281575,1,unknown,4780,24000,1
25,1953.299291,0.005594,-0.001469,-0.008195,0.000793,0.005526,-0.001480,-0.008178,0.000924,0.0007472992138679909,0.00014984613623061438,-0.0004266877871538805,-0.00021382892902063345,0.9808363496065484,0.0003832940943079711,1,unknown,4788,24000,1
26,1953.399912,0.005628,-0.001465,-0.008161,0.001380,0.005594,-0.001469,-0.008195,0.000977,0.0002361380618035383,3.815000073590768e-05,0.00037584048643748806,0.0005919114407286575,0.983203759351237,0.0001624577042054128,1,unknown,4800,24000,1
27,1953.499759,0.005727,-0.001447,-0.008404,0.000768,0.005628,-0.001465,-0.008161,0.001335,0.0015919091687119523,0.0003729309949890261,-0.003727962752397781,-0.0007486071574019184,0.9762276089065072,0.0026872976775891297,1,unknown,4811,24000,1
28,1953.599598,0.005756,-0.001496,-0.008364,0.000873,0.005727,-0.001447,-0.008404,0.000924,0.00016909899158734122,-0.000701371157393515,0.000507978601004138,0.00018375739903183337,0.9849117018731353,0.00030516987067211556,1,unknown,4822,24000,1
29,1953.699431,0.005757,-0.001454,-0.008416,0.000735,0.005756,-0.001496,-0.008364,0.000943,0.00016055994344725284,0.0005875914881611039,-0.0007687613542767691,-0.00021234856424485863,0.9833749559000821,0.00020757587979344967,1,unknown,4830,24000,1
30,1953.799668,0.005906,-0.001512,-0.008572,0.000904,0.005757,-0.001454,-0.008416,0.000758,0.002019010775780478,-0.0007625416966424593,-0.002740277717881318,0.0001705347305150747,0.9838218550895896,0.002701404815174681,1,unknown,4837,24000,1
31,1953.899504,0.005977,-0.001321,-0.008584,0.001056,0.005906,-0.001512,-0.008572,0.000936,0.0008980799148160757,0.0029358750878552926,-0.00030993741130662736,-0.00015968489737694226,0.9818674217486618,0.002018065889755436,1,unknown,4841,24000,1
32,1953.999350,0.006016,-0.001285,-0.008606,0.000920,0.005977,-0.001321,-0.008584,0.001172,0.0004977401669323282,0.0005722258078499375,-0.00040158464119970615,-0.00021203484955000884,0.9801923991305908,0.0001751092078116846,1,unknown,4854,24000,1
33,1954.099600,0.005976,-0.001226,-0.008623,0.000790,0.006016,-0.001285,-0.008606,0.000866,-0.00038448215010429034,0.0008924385636791853,-0.00016336943760084273,-0.00021268106538905175,0.9848316092527611,0.00042711002547407854,1,unknown,4876,24000,1
34,1954.199424,0.006058,-0.001296,-0.008664,0.000892,0.005976,-0.001226,-0.008623,0.001029,0.0009376469492289362,-0.001002066274941468,-0.0008142761784698926,0.00017655819127064177,0.9855338934523935,0.0008560381424463997,1,unknown,4921,24000,1
35,1954.299665,0.006152,-0.001293,-0.008758,0.000860,0.006058,-0.001296,-0.008664,0.000891,0.00132794986699971,9.910484935903171e-05,-0.0016544099305666731,-9.252807961847917e-05,0.9798252107995354,0.0010496494610452718,1,unknown,4960,24000,1
36,1954.399500,0.006170,-0.001255,-0.008819,0.000973,0.006152,-0.001293,-0.008758,0.001027,0.0003476265087908161,0.0005940773780797018,-0.0009723620107700282,3.162229484016058e-05,0.9817399852138895,0.0002528047544353875,1,unknown,4971,24000,1
37,1954.499329,0.006184,-0.001175,-0.008791,0.000710,0.006170,-0.001255,-0.008819,0.001071,0.00015084641086128385,0.0012274786304474858,0.00038860127852087534,-0.00038433107063835515,0.9814066121057613,0.00037994451843437443,1,unknown,4976,24000,1
38,1954.599970,0.006240,-0.001186,-0.008813,0.000881,0.006184,-0.001175,-0.008791,0.000788,0.000707310817884596,-0.000160781841854155,-0.0004578911974963788,0.00017078503321696993,0.9849106677821853,0.0003454469556767941,1,unknown,4980,24000,1
39,1954.699816,0.006315,-0.001123,-0.008790,0.000963,0.006240,-0.001186,-0.008813,0.001004,0.0009117048226766917,0.0009173999144959527,0.0001815835031769037,-2.391180508730857e-06,0.9820022542394861,0.0009648857116462886,1,unknown,4981,24000,1
