scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,910.599814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,1476,24000,0
1,910.699655,0.000000,0.000000,0.000000,-0.000149,0.000000,0.000000,0.000000,-0.000149,nan,nan,nan,nan,nan,nan,-1,stationary,3379,24000,0
2,910.799513,0.000000,0.000000,0.000000,-0.000209,0.000000,0.000000,0.000000,-0.000209,nan,nan,nan,nan,nan,nan,-1,stationary,4955,24000,0
3,910.899344,0.000000,0.000000,0.000000,-0.000251,0.000000,0.000000,0.000000,-0.000251,nan,nan,nan,nan,nan,nan,-1,stationary,6384,24000,0
4,910.999986,0.011803,-0.016482,0.003845,0.003220,0.000000,0.000000,0.000000,0.000249,0.011844413872499212,-0.016722075085693778,0.0039212404937716844,0.0035086547339470524,0.8606671651606939,0.0003413578580231001,1,mild,7667,24000,1
5,911.099813,0.016639,-0.025297,-0.001866,0.004704,0.011803,-0.016482,0.003845,0.003050,0.005770705793111343,-0.012630284031991887,-0.007193869051070831,0.0020928396324002775,0.43327482694840613,0.0029388479093001288,1,mild,8837,24000,1
6,911.199644,0.019268,-0.015733,-0.005272,0.001275,0.016639,-0.025297,-0.001866,0.004790,0.0026809693324370276,0.011158874782776019,-0.0041144882045484246,-0.003604293566432806,0.9185522704187083,0.0012007787318114311,1,mild,10168,24000,1
7,911.299475,0.020206,-0.019627,-0.000429,0.005207,0.019268,-0.015733,-0.005272,0.001471,0.0009547907967806489,-0.0046827214550797,0.005536663337123892,0.004086447977969259,0.7089276996518161,0.0010980586810485516,1,mild,11678,24000,1
8,911.399317,0.020206,-0.019627,-0.000429,0.005489,0.020206,-0.019627,-0.000429,0.005489,nan,nan,nan,nan,nan,nan,-1,stationary,12606,24000,0
9,911.499962,0.020206,-0.019627,-0.000429,0.006349,0.020206,-0.019627,-0.000429,0.006349,nan,nan,nan,nan,nan,nan,-1,stationary,13306,24000,0
10,911.599799,0.020152,-0.019596,-0.000918,0.006589,0.020152,-0.019596,-0.000918,0.006589,nan,nan,nan,nan,nan,nan,-1,stationary,1982,24000,0
11,911.699637,0.020129,-0.019615,-0.000888,0.006036,0.020129,-0.019615,-0.000888,0.006036,nan,nan,nan,nan,nan,nan,-1,stationary,3093,24000,0
12,911.799487,0.020192,-0.019700,-0.000915,0.005958,0.020192,-0.019700,-0.000915,0.005958,nan,nan,nan,nan,nan,nan,-1,stationary,4243,24000,0
13,911.899320,0.020280,-0.019728,-0.000919,0.006071,0.020280,-0.019728,-0.000919,0.006071,nan,nan,nan,nan,nan,nan,-1,stationary,5648,24000,0
14,911.999965,0.023286,-0.026898,0.002345,0.011429,0.021935,-0.017073,-0.000835,0.010883,0.0029235341592016503,-0.00765056225391976,0.00360976590701544,0.005392030547051078,0.7038507505945328,0.0003635248535673664,1,mild,7441,24000,1
