scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,3213,24000,0
1,1950.899451,0.000000,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000059,nan,nan,nan,nan,nan,nan,-1,stationary,3819,24000,0
2,1950.999297,0.000000,0.000000,0.000000,0.000133,0.000000,0.000000,0.000000,0.000133,nan,nan,nan,nan,nan,nan,-1,stationary,3979,24000,0
3,1951.099944,0.000000,0.000000,0.000000,0.000263,0.000000,0.000000,0.000000,0.000263,nan,nan,nan,nan,nan,nan,-1,stationary,4067,24000,0
4,1951.199783,0.000000,0.000000,0.000000,0.000409,0.000000,0.000000,0.000000,0.000409,nan,nan,nan,nan,nan,nan,-1,stationary,4128,24000,0
5,1951.299620,0.000000,0.000000,0.000000,0.000516,0.000000,0.000000,0.000000,0.000516,nan,nan,nan,nan,nan,nan,-1,stationary,4191,24000,0
6,1951.399467,0.000000,0.000000,0.000000,0.000644,0.000000,0.000000,0.000000,0.000644,nan,nan,nan,nan,nan,nan,-1,stationary,4238,24000,0
7,1951.499323,0.000000,0.000000,0.000000,0.000721,0.000000,0.000000,0.000000,0.000721,nan,nan,nan,nan,nan,nan,-1,stationary,4284,24000,0
8,1951.599967,0.000000,0.000000,0.000000,0.000792,0.000000,0.000000,0.000000,0.000792,nan,nan,nan,nan,nan,nan,-1,stationary,4328,24000,0
9,1951.699814,0.000000,0.000000,0.000000,0.000802,0.000000,0.000000,0.000000,0.000802,nan,nan,nan,nan,nan,nan,-1,stationary,4376,24000,0
10,1951.799651,-0.000004,-0.000005,0.000003,0.000787,-0.000004,-0.000005,0.000003,0.000787,nan,nan,nan,nan,nan,nan,-1,stationary,3295,24000,0
11,1951.899477,-0.000008,-0.000013,0.000007,0.000789,-0.000008,-0.000013,0.000007,0.000789,nan,nan,nan,nan,nan,nan,-1,stationary,3910,24000,0
12,1951.999327,-0.000011,-0.000016,0.000009,0.000748,-0.000011,-0.000016,0.000009,0.000748,nan,nan,nan,nan,nan,nan,-1,stationary,4087,24000,0
13,1952.099978,-0.000010,-0.000018,0.000011,0.000724,-0.000010,-0.000018,0.000011,0.000724,nan,nan,nan,nan,nan,nan,-1,stationary,4173,24000,0
14,1952.199821,-0.000012,-0.000024,0.000010,0.000715,-0.000012,-0.000024,0.000010,0.000715,nan,nan,nan,nan,nan,nan,-1,stationary,4246,24000,0
15,1952.299657,-0.000011,-0.000030,0.000015,0.000739,-0.000011,-0.000030,0.000015,0.000739,nan,nan,nan,nan,nan,nan,-1,stationary,4303,24000,0
16,1952.399498,-0.000010,-0.000031,0.000016,0.000856,-0.000010,-0.000031,0.000016,0.000856,nan,nan,nan,nan,nan,nan,-1,stationary,4339,24000,0
17,1952.499356,-0.000011,-0.000031,0.000018,0.000895,-0.000011,-0.000031,0.000018,0.000895,nan,nan,nan,nan,nan,nan,-1,stationary,4367,24000,0
18,1952.599997,-0.000009,-0.000029,0.000020,0.000820,-0.000009,-0.000029,0.000020,0.000820,nan,nan,nan,nan,nan,nan,-1,stationary,4393,24000,0
19,1952.699828,-0.000008,-0.000025,0.000023,0.000827,-0.000008,-0.000025,0.000023,0.000827,nan,nan,nan,nan,nan,nan,-1,stationary,4421,24000,0
20,1952.799667,-0.000009,-0.000021,0.000028,0.000809,-0.000009,-0.000021,0.000028,0.000809,nan,nan,nan,nan,nan,nan,-1,stationary,4406,24000,0
21,1952.899509,-0.000014,-0.000024,0.000032,0.000828,-0.000014,-0.000024,0.000032,0.000828,nan,nan,nan,nan,nan,nan,-1,stationary,4466,24000,0
22,1952.999356,-0.000015,-0.000028,0.000034,0.000820,-0.000015,-0.000028,0.000034,0.000820,nan,nan,nan,nan,nan,nan,-1,stationary,4530,24000,0
23,1953.099604,-0.000015,-0.000030,0.000036,0.000823,-0.000015,-0.000030,0.000036,0.000823,nan,nan,nan,nan,nan,nan,-1,stationary,4572,24000,0
24,1953.199446,-0.000011,-0.000030,0.000034,0.000767,-0.000011,-0.000030,0.000034,0.000767,nan,nan,nan,nan,nan,nan,-1,stationary,4595,24000,0
25,1953.299291,-0.000017,-0.000027,0.000037,0.000588,-0.000017,-0.000027,0.000037,0.000588,nan,nan,nan,nan,nan,nan,-1,stationary,4615,24000,0
26,1953.399912,0.000001,-0.000036,0.000036,0.000437,0.000001,-0.000036,0.000036,0.000437,nan,nan,nan,nan,nan,nan,-1,stationary,4630,24000,0
27,1953.499759,-0.000026,-0.000047,0.000043,0.000704,-0.000026,-0.000047,0.000043,0.000704,nan,nan,nan,nan,nan,nan,-1,stationary,4642,24000,0
28,1953.599598,-0.000025,-0.000041,0.000042,0.000656,-0.000025,-0.000041,0.000042,0.000656,nan,nan,nan,nan,nan,nan,-1,stationary,4649,24000,0
29,1953.699431,-0.000029,-0.000049,0.000044,0.000700,-0.000029,-0.000049,0.000044,0.000700,nan,nan,nan,nan,nan,nan,-1,stationary,4656,24000,0
30,1953.799668,-0.000034,-0.000058,0.000046,0.000707,-0.000034,-0.000058,0.000046,0.000707,nan,nan,nan,nan,nan,nan,-1,stationary,4666,24000,0
31,1953.899504,-0.000023,-0.000047,0.000045,0.000600,-0.000023,-0.000047,0.000045,0.000600,nan,nan,nan,nan,nan,nan,-1,stationary,4673,24000,0
32,1953.999350,-0.000022,-0.000054,0.000051,0.000614,-0.000022,-0.000054,0.000051,0.000614,nan,nan,nan,nan,nan,nan,-1,stationary,4687,24000,0
33,1954.099600,-0.000043,-0.000053,0.000086,0.000572,-0.000043,-0.000053,0.000086,0.000572,nan,nan,nan,nan,nan,nan,-1,stationary,4720,24000,0
34,1954.199424,-0.000038,-0.000053,0.000089,0.000602,-0.000038,-0.000053,0.000089,0.000602,nan,nan,nan,nan,nan,nan,-1,stationary,4769,24000,0
35,1954.299665,-0.000047,-0.000049,0.000090,0.000656,-0.000047,-0.000049,0.000090,0.000656,nan,nan,nan,nan,nan,nan,-1,stationary,4815,24000,0
36,1954.399500,-0.000031,-0.000060,0.000092,0.000737,-0.000031,-0.000060,0.000092,0.000737,nan,nan,nan,nan,nan,nan,-1,stationary,4833,24000,0
37,1954.499329,-0.000038,-0.000063,0.000094,0.000750,-0.000038,-0.000063,0.000094,0.000750,nan,nan,nan,nan,nan,nan,-1,stationary,4840,24000,0
38,1954.599970,-0.000037,-0.000060,0.000100,0.000742,-0.000037,-0.000060,0.000100,0.000742,nan,nan,nan,nan,nan,nan,-1,stationary,4851,24000,0
39,1954.699816,-0.000037,-0.000066,0.000109,0.000781,-0.000037,-0.000066,0.000109,0.000781,nan,nan,nan,nan,nan,nan,-1,stationary,4857,24000,0
40,1954.799654,-0.000039,-0.000065,0.000114,0.000853,-0.000039,-0.000065,0.000114,0.000853,nan,nan,nan,nan,nan,nan,-1,stationary,4704,24000,0
41,1954.899494,-0.000033,-0.000065,0.000113,0.000918,-0.000033,-0.000065,0.000113,0.000918,nan,nan,nan,nan,nan,nan,-1,stationary,4712,24000,0
42,1954.999337,-0.000039,-0.000069,0.000115,0.000979,-0.000039,-0.000069,0.000115,0.000979,nan,nan,nan,nan,nan,nan,-1,stationary,4718,24000,0
43,1955.099979,-0.000037,-0.000067,0.000116,0.001006,-0.000037,-0.000067,0.000116,0.001006,nan,nan,nan,nan,nan,nan,-1,stationary,4728,24000,0
44,1955.199829,-0.000039,-0.000068,0.000116,0.001055,-0.000039,-0.000068,0.000116,0.001055,nan,nan,nan,nan,nan,nan,-1,stationary,4740,24000,0
45,1955.299679,-0.000033,-0.000071,0.000116,0.000860,-0.000033,-0.000071,0.000116,0.000860,nan,nan,nan,nan,nan,nan,-1,stationary,4763,24000,0
46,1955.399515,-0.000040,-0.000086,0.000119,0.001298,-0.000040,-0.000086,0.000119,0.001298,nan,nan,nan,nan,nan,nan,-1,stationary,4818,24000,0
47,1955.499358,-0.000069,-0.000068,0.000122,0.001113,-0.000069,-0.000068,0.000122,0.001113,nan,nan,nan,nan,nan,nan,-1,stationary,4869,24000,0
48,1955.599600,-0.000082,-0.000085,0.000131,0.001295,-0.000082,-0.000085,0.000131,0.001295,nan,nan,nan,nan,nan,nan,-1,stationary,4931,24000,0
49,1955.699435,-0.000015,-0.000070,0.000131,0.001378,-0.000015,-0.000070,0.000131,0.001378,nan,nan,nan,nan,nan,nan,-1,stationary,4934,24000,0
50,1955.799669,-0.000067,-0.000063,0.000128,0.001570,-0.000067,-0.000063,0.000128,0.001570,nan,nan,nan,nan,nan,nan,-1,stationary,4935,24000,0
51,1955.899516,-0.000085,-0.000067,0.000133,0.001565,-0.000085,-0.000067,0.000133,0.001565,nan,nan,nan,nan,nan,nan,-1,stationary,4958,24000,0
52,1955.999354,-0.000043,-0.000038,0.000135,0.001299,-0.000043,-0.000038,0.000135,0.001299,nan,nan,nan,nan,nan,nan,-1,stationary,4963,24000,0
53,1956.099994,-0.000056,-0.000078,0.000137,0.001552,-0.000056,-0.000078,0.000137,0.001552,nan,nan,nan,nan,nan,nan,-1,stationary,4968,24000,0
54,1956.199832,-0.000049,-0.000071,0.000138,0.001416,-0.000049,-0.000071,0.000138,0.001416,nan,nan,nan,nan,nan,nan,-1,stationary,4975,24000,0
55,1956.299680,-0.000051,-0.000067,0.000139,0.001490,-0.000051,-0.000067,0.000139,0.001490,nan,nan,nan,nan,nan,nan,-1,stationary,4978,24000,0
56,1956.399509,-0.000066,-0.000075,0.000145,0.001560,-0.000066,-0.000075,0.000145,0.001560,nan,nan,nan,nan,nan,nan,-1,stationary,4983,24000,0
