scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,3213,24000,0
1,1950.899451,0.000000,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000059,nan,nan,nan,nan,nan,nan,-1,stationary,3819,24000,0
2,1950.999297,0.000000,0.000000,0.000000,0.000133,0.000000,0.000000,0.000000,0.000133,nan,nan,nan,nan,nan,nan,-1,stationary,3979,24000,0
3,1951.099944,0.000000,0.000000,0.000000,0.000330,0.000000,0.000000,0.000000,0.000330,nan,nan,nan,nan,nan,nan,-1,stationary,4066,24000,0
4,1951.199783,0.000000,0.000000,0.000000,0.000409,0.000000,0.000000,0.000000,0.000409,nan,nan,nan,nan,nan,nan,-1,stationary,4127,24000,0
5,1951.299620,0.000000,0.000000,0.000000,0.000516,0.000000,0.000000,0.000000,0.000516,nan,nan,nan,nan,nan,nan,-1,stationary,4190,24000,0
6,1951.399467,0.000000,0.000000,0.000000,0.000644,0.000000,0.000000,0.000000,0.000644,nan,nan,nan,nan,nan,nan,-1,stationary,4237,24000,0
7,1951.499323,0.000000,0.000000,0.000000,0.000715,0.000000,0.000000,0.000000,0.000715,nan,nan,nan,nan,nan,nan,-1,stationary,4281,24000,0
8,1951.599967,0.000000,0.000000,0.000000,0.000806,0.000000,0.000000,0.000000,0.000806,nan,nan,nan,nan,nan,nan,-1,stationary,4325,24000,0
9,1951.699814,0.000000,0.000000,0.000000,0.000814,0.000000,0.000000,0.000000,0.000814,nan,nan,nan,nan,nan,nan,-1,stationary,4372,24000,0
10,1951.799651,-0.000004,-0.000005,0.000003,0.000799,-0.000004,-0.000005,0.000003,0.000799,nan,nan,nan,nan,nan,nan,-1,stationary,3295,24000,0
11,1951.899477,-0.000005,-0.000010,0.000009,0.000770,-0.000005,-0.000010,0.000009,0.000770,nan,nan,nan,nan,nan,nan,-1,stationary,3912,24000,0
12,1951.999327,-0.000006,-0.000011,0.000009,0.000773,-0.000006,-0.000011,0.000009,0.000773,nan,nan,nan,nan,nan,nan,-1,stationary,4088,24000,0
13,1952.099978,-0.000006,-0.000014,0.000010,0.000751,-0.000006,-0.000014,0.000010,0.000751,nan,nan,nan,nan,nan,nan,-1,stationary,4171,24000,0
14,1952.199821,-0.000009,-0.000020,0.000009,0.000739,-0.000009,-0.000020,0.000009,0.000739,nan,nan,nan,nan,nan,nan,-1,stationary,4240,24000,0
15,1952.299657,-0.000009,-0.000027,0.000015,0.000763,-0.000009,-0.000027,0.000015,0.000763,nan,nan,nan,nan,nan,nan,-1,stationary,4297,24000,0
16,1952.399498,-0.000008,-0.000029,0.000016,0.000880,-0.000008,-0.000029,0.000016,0.000880,nan,nan,nan,nan,nan,nan,-1,stationary,4333,24000,0
17,1952.499356,-0.000010,-0.000029,0.000017,0.000919,-0.000010,-0.000029,0.000017,0.000919,nan,nan,nan,nan,nan,nan,-1,stationary,4361,24000,0
18,1952.599997,-0.000008,-0.000027,0.000020,0.000843,-0.000008,-0.000027,0.000020,0.000843,nan,nan,nan,nan,nan,nan,-1,stationary,4387,24000,0
19,1952.699828,-0.000007,-0.000023,0.000023,0.000851,-0.000007,-0.000023,0.000023,0.000851,nan,nan,nan,nan,nan,nan,-1,stationary,4415,24000,0
20,1952.799667,-0.000008,-0.000019,0.000028,0.000833,-0.000008,-0.000019,0.000028,0.000833,nan,nan,nan,nan,nan,nan,-1,stationary,4400,24000,0
21,1952.899509,-0.000008,-0.000020,0.000027,0.000829,-0.000008,-0.000020,0.000027,0.000829,nan,nan,nan,nan,nan,nan,-1,stationary,4462,24000,0
22,1952.999356,-0.000010,-0.000022,0.000031,0.000837,-0.000010,-0.000022,0.000031,0.000837,nan,nan,nan,nan,nan,nan,-1,stationary,4523,24000,0
23,1953.099604,-0.000010,-0.000024,0.000032,0.000839,-0.000010,-0.000024,0.000032,0.000839,nan,nan,nan,nan,nan,nan,-1,stationary,4562,24000,0
24,1953.199446,-0.000007,-0.000025,0.000031,0.000784,-0.000007,-0.000025,0.000031,0.000784,nan,nan,nan,nan,nan,nan,-1,stationary,4587,24000,0
25,1953.299291,-0.000011,-0.000022,0.000033,0.000522,-0.000011,-0.000022,0.000033,0.000522,nan,nan,nan,nan,nan,nan,-1,stationary,4607,24000,0
26,1953.399912,0.000009,-0.000032,0.000030,0.000518,0.000009,-0.000032,0.000030,0.000518,nan,nan,nan,nan,nan,nan,-1,stationary,4622,24000,0
27,1953.499759,-0.000018,-0.000044,0.000038,0.000784,-0.000018,-0.000044,0.000038,0.000784,nan,nan,nan,nan,nan,nan,-1,stationary,4633,24000,0
28,1953.599598,-0.000018,-0.000036,0.000036,0.000677,-0.000018,-0.000036,0.000036,0.000677,nan,nan,nan,nan,nan,nan,-1,stationary,4642,24000,0
29,1953.699431,-0.000022,-0.000046,0.000039,0.000780,-0.000022,-0.000046,0.000039,0.000780,nan,nan,nan,nan,nan,nan,-1,stationary,4649,24000,0
30,1953.799668,-0.000028,-0.000054,0.000041,0.000787,-0.000028,-0.000054,0.000041,0.000787,nan,nan,nan,nan,nan,nan,-1,stationary,4663,24000,0
31,1953.899504,-0.000017,-0.000044,0.000040,0.000680,-0.000017,-0.000044,0.000040,0.000680,nan,nan,nan,nan,nan,nan,-1,stationary,4669,24000,0
32,1953.999350,-0.000016,-0.000051,0.000045,0.000694,-0.000016,-0.000051,0.000045,0.000694,nan,nan,nan,nan,nan,nan,-1,stationary,4684,24000,0
33,1954.099600,-0.000021,-0.000051,0.000049,0.000645,-0.000021,-0.000051,0.000049,0.000645,nan,nan,nan,nan,nan,nan,-1,stationary,4715,24000,0
34,1954.199424,-0.000019,-0.000050,0.000053,0.000831,-0.000019,-0.000050,0.000053,0.000831,nan,nan,nan,nan,nan,nan,-1,stationary,4760,24000,0
35,1954.299665,-0.000019,-0.000046,0.000051,0.000782,-0.000019,-0.000046,0.000051,0.000782,nan,nan,nan,nan,nan,nan,-1,stationary,4804,24000,0
36,1954.399500,-0.000011,-0.000052,0.000051,0.000804,-0.000011,-0.000052,0.000051,0.000804,nan,nan,nan,nan,nan,nan,-1,stationary,4822,24000,0
37,1954.499329,-0.000019,-0.000051,0.000052,0.000780,-0.000019,-0.000051,0.000052,0.000780,nan,nan,nan,nan,nan,nan,-1,stationary,4829,24000,0
38,1954.599970,-0.000013,-0.000049,0.000053,0.000795,-0.000013,-0.000049,0.000053,0.000795,nan,nan,nan,nan,nan,nan,-1,stationary,4836,24000,0
39,1954.699816,-0.000016,-0.000053,0.000056,0.000812,-0.000016,-0.000053,0.000056,0.000812,nan,nan,nan,nan,nan,nan,-1,stationary,4842,24000,0
40,1954.799654,-0.000016,-0.000051,0.000058,0.000875,-0.000016,-0.000051,0.000058,0.000875,nan,nan,nan,nan,nan,nan,-1,stationary,4689,24000,0
41,1954.899494,-0.000011,-0.000050,0.000057,0.000939,-0.000011,-0.000050,0.000057,0.000939,nan,nan,nan,nan,nan,nan,-1,stationary,4697,24000,0
42,1954.999337,-0.000014,-0.000054,0.000057,0.001007,-0.000014,-0.000054,0.000057,0.001007,nan,nan,nan,nan,nan,nan,-1,stationary,4703,24000,0
43,1955.099979,-0.000014,-0.000052,0.000057,0.001049,-0.000014,-0.000052,0.000057,0.001049,nan,nan,nan,nan,nan,nan,-1,stationary,4712,24000,0
44,1955.199829,-0.000016,-0.000054,0.000057,0.001033,-0.000016,-0.000054,0.000057,0.001033,nan,nan,nan,nan,nan,nan,-1,stationary,4722,24000,0
45,1955.299679,-0.000009,-0.000055,0.000057,0.000859,-0.000009,-0.000055,0.000057,0.000859,nan,nan,nan,nan,nan,nan,-1,stationary,4744,24000,0
46,1955.399515,-0.000008,-0.000050,0.000058,0.000940,-0.000008,-0.000050,0.000058,0.000940,nan,nan,nan,nan,nan,nan,-1,stationary,4797,24000,0
47,1955.499358,-0.000043,-0.000037,0.000059,0.001054,-0.000043,-0.000037,0.000059,0.001054,nan,nan,nan,nan,nan,nan,-1,stationary,4848,24000,0
48,1955.599600,-0.000059,-0.000057,0.000068,0.001236,-0.000059,-0.000057,0.000068,0.001236,nan,nan,nan,nan,nan,nan,-1,stationary,4921,24000,0
49,1955.699435,0.000009,-0.000045,0.000068,0.001319,0.000009,-0.000045,0.000068,0.001319,nan,nan,nan,nan,nan,nan,-1,stationary,4924,24000,0
50,1955.799669,-0.000044,-0.000039,0.000065,0.001510,-0.000044,-0.000039,0.000065,0.001510,nan,nan,nan,nan,nan,nan,-1,stationary,4926,24000,0
51,1955.899516,-0.000065,-0.000045,0.000071,0.001505,-0.000065,-0.000045,0.000071,0.001505,nan,nan,nan,nan,nan,nan,-1,stationary,4949,24000,0
52,1955.999354,-0.000022,-0.000017,0.000073,0.001239,-0.000022,-0.000017,0.000073,0.001239,nan,nan,nan,nan,nan,nan,-1,stationary,4956,24000,0
53,1956.099994,-0.000035,-0.000059,0.000075,0.001492,-0.000035,-0.000059,0.000075,0.001492,nan,nan,nan,nan,nan,nan,-1,stationary,4961,24000,0
54,1956.199832,-0.000030,-0.000063,0.000075,0.001413,-0.000030,-0.000063,0.000075,0.001413,nan,nan,nan,nan,nan,nan,-1,stationary,4968,24000,0
55,1956.299680,-0.000021,-0.000045,0.000076,0.001404,-0.000021,-0.000045,0.000076,0.001404,nan,nan,nan,nan,nan,nan,-1,stationary,4971,24000,0
56,1956.399509,-0.000038,-0.000055,0.000083,0.001474,-0.000038,-0.000055,0.000083,0.001474,nan,nan,nan,nan,nan,nan,-1,stationary,4976,24000,0
