scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,3213,24000,0
1,1950.899451,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.000000,0.000088,nan,nan,nan,nan,nan,nan,-1,stationary,3825,24000,0
2,1950.999297,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.000000,0.000088,nan,nan,nan,nan,nan,nan,-1,stationary,3982,24000,0
3,1951.099944,0.000000,0.000000,0.000000,0.000218,0.000000,0.000000,0.000000,0.000218,nan,nan,nan,nan,nan,nan,-1,stationary,4067,24000,0
4,1951.199783,0.000000,0.000000,0.000000,0.000364,0.000000,0.000000,0.000000,0.000364,nan,nan,nan,nan,nan,nan,-1,stationary,4128,24000,0
5,1951.299620,0.000000,0.000000,0.000000,0.000470,0.000000,0.000000,0.000000,0.000470,nan,nan,nan,nan,nan,nan,-1,stationary,4189,24000,0
6,1951.399467,0.000000,0.000000,0.000000,0.000598,0.000000,0.000000,0.000000,0.000598,nan,nan,nan,nan,nan,nan,-1,stationary,4237,24000,0
7,1951.499323,0.000000,0.000000,0.000000,0.000658,0.000000,0.000000,0.000000,0.000658,nan,nan,nan,nan,nan,nan,-1,stationary,4283,24000,0
8,1951.599967,0.000000,0.000000,0.000000,0.000706,0.000000,0.000000,0.000000,0.000706,nan,nan,nan,nan,nan,nan,-1,stationary,4326,24000,0
9,1951.699814,0.000000,0.000000,0.000000,0.000757,0.000000,0.000000,0.000000,0.000757,nan,nan,nan,nan,nan,nan,-1,stationary,4375,24000,0
10,1951.799651,-0.000004,-0.000005,0.000003,0.000742,-0.000004,-0.000005,0.000003,0.000742,nan,nan,nan,nan,nan,nan,-1,stationary,3293,24000,0
11,1951.899477,-0.000008,-0.000013,0.000007,0.000744,-0.000008,-0.000013,0.000007,0.000744,nan,nan,nan,nan,nan,nan,-1,stationary,3913,24000,0
12,1951.999327,-0.000009,-0.000016,0.000009,0.000696,-0.000009,-0.000016,0.000009,0.000696,nan,nan,nan,nan,nan,nan,-1,stationary,4091,24000,0
13,1952.099978,-0.000008,-0.000019,0.000010,0.000690,-0.000008,-0.000019,0.000010,0.000690,nan,nan,nan,nan,nan,nan,-1,stationary,4176,24000,0
14,1952.199821,-0.000010,-0.000025,0.000010,0.000665,-0.000010,-0.000025,0.000010,0.000665,nan,nan,nan,nan,nan,nan,-1,stationary,4244,24000,0
15,1952.299657,-0.000010,-0.000031,0.000015,0.000688,-0.000010,-0.000031,0.000015,0.000688,nan,nan,nan,nan,nan,nan,-1,stationary,4301,24000,0
16,1952.399498,-0.000008,-0.000032,0.000016,0.000805,-0.000008,-0.000032,0.000016,0.000805,nan,nan,nan,nan,nan,nan,-1,stationary,4338,24000,0
