scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,rotating,3238,24000,0
1,1950.899451,-0.191984,0.247125,0.005642,-1.322177,0.000000,0.000000,0.000000,0.000000,0.0024723922425512967,-0.0022640715365812194,-0.0035373252623151445,0.0006233994915236571,0.9818890531601089,0.0004972690664132603,1,rotating,6550,24000,1
2,1950.999297,-0.190819,0.243563,0.002917,-1.321793,-0.191984,0.247125,0.005642,-1.322177,0.0037233680104740707,0.00022327131977606385,-0.0027506966382465897,0.00039228074000981553,0.9814383330717856,5.913272846037907e-07,1,rotating,7140,24000,1
3,1951.099944,-0.117815,0.767016,0.003450,-2.646337,-0.191251,0.244807,0.002737,-1.337918,0.0007345759135503616,-0.0022213392463024256,-0.005052609888403258,-0.00019593973045233413,0.9818605707572647,0.12512189712950064,1,rotating,10529,24000,1
4,1951.199783,0.255967,1.009184,0.017274,2.321542,-0.187289,0.389965,-0.003466,-2.646332,0.0023346470342699432,7.109136699212648e-05,-0.003439468348119111,3.6992728045161546e-05,0.9805528036923444,0.0019396705870286207,1,rotating,14036,24000,1
5,1951.299620,0.465127,0.911635,0.036720,1.009145,-0.016377,0.813911,0.003011,2.321508,0.0010873823021605444,-0.0019496594779661036,-0.0018902296339112293,-4.020984400392402e-05,0.982828658243844,0.0014623290627937382,1,rotating,17426,24000,1
6,1951.399467,0.297119,0.862081,0.051448,-0.300936,0.311935,0.953079,0.019713,1.009120,0.0018581225748690589,0.00028136122579688894,-0.004825734947351681,-0.0008213961620546449,0.9802949676079078,0.00032220196037431695,1,rotating,19972,24000,1
7,1951.499323,0.123637,1.269329,0.040086,-1.606666,0.405869,0.870535,0.035296,-0.300944,0.0005024905405558305,-0.01152005547641155,-0.02254971569850669,0.00040215734086493973,0.9761083258179855,0.0001565082388121537,1,rotating,22703,24000,1
8,1951.599967,-1.998981,1.213289,0.009293,-2.345269,0.226252,0.936108,0.028950,-1.606662,0.8169905638022352,-2.0096942614718274,-0.014328835343387365,0.571312371709705,0.8176340258890339,0.1670673999854354,1,rotating,25639,24000,1
9,1951.699814,-5.530690,0.406360,-0.021516,-1.424312,-1.940548,0.678315,0.004941,-2.345193,3.321187085162513,-0.9380439455630896,-0.02796199597619975,2.2585416057086323,0.1,2.036972360344376,1,rotating,28502,24000,1
10,1951.799651,-6.771548,3.210709,-0.108374,-2.721218,-5.530690,0.406360,-0.021516,-1.424312,0.0042906338939017186,-0.004268482738911672,-0.016833696206600274,-0.0007779880404731555,0.982455282297264,5.143327424433564e-06,1,rotating,31856,24000,1
11,1951.899477,-8.252732,7.932452,-0.204931,2.269597,-6.771548,3.210709,-0.108374,-2.721218,0.002154423712074305,0.0006965139156660527,-0.000490138064090262,0.0002323143942292102,0.8965916890677973,9.26010593398175e-07,1,rotating,35296,24000,1
12,1951.999327,-9.918065,14.153762,-0.315104,0.979818,-8.252732,7.932452,-0.204931,2.269597,-0.0010533047549028396,-0.003553302673986236,-0.0006134420429085852,0.0004083001763782023,0.9830334892308672,4.6474200879576696e-07,1,rotating,38721,24000,1
13,1952.099978,-10.323116,14.800955,-0.329528,-0.305099,-9.012931,10.741637,-0.279213,0.978211,0.0008338056938637095,-0.004783331536440727,0.000517889504558975,0.0008170831292507658,0.9824627280679079,0.10274407934785909,1,combined,42077,24000,1
14,1952.199821,-11.522480,17.068078,-0.365791,-1.588023,-10.323116,14.800955,-0.329528,-0.305099,0.0007579823141892206,-0.000460493171081211,0.0012194149065664905,0.00046498955055718753,0.9814355198487722,7.123357557148663e-07,1,rotating,45189,24000,1
15,1952.299657,-13.123491,21.095028,-0.418003,-2.867162,-11.522480,17.068078,-0.365791,-1.588023,-0.008317677534829926,-0.009655641526304493,0.003918329654090114,0.000276361141509121,0.977152522971176,1.9020962859279474e-05,1,rotating,48613,24000,1
16,1952.399498,-14.682525,26.647591,-0.486247,2.140218,-13.123491,21.095028,-0.418003,-2.867162,0.0026232661037717264,-0.00032621298881352345,-0.0009139640319610898,0.000141338997387479,0.9840671011606867,9.688172237395756e-08,1,rotating,52095,24000,1
17,1952.499356,-16.241702,33.344149,-0.550562,0.867117,-14.682525,26.647591,-0.486247,2.140218,-0.00027775458096357397,-0.00307960170192767,0.0004162403260705161,0.0007375658190909692,0.9764246236603696,2.492615295595168e-07,1,rotating,55548,24000,1
18,1952.599997,-15.288893,32.356828,-0.634848,-0.463984,-15.427932,29.759853,-0.540395,0.851245,0.009092155800628277,-1.9605785631972843,-0.10051891304730848,-0.06035486748815724,0.6824563230795107,0.058924691516037665,1,combined,58939,24000,1
19,1952.699828,-15.785512,32.893877,-0.643646,-1.732653,-14.865524,32.104671,-0.641038,-0.464028,0.001625222423037087,-0.002430943694118781,-0.0012293725365332964,0.000629502907187853,0.9809312917058441,0.0034956128592581724,1,rotating,61901,24000,1
20,1952.799667,-16.011973,33.492136,-0.649284,-2.998478,-15.390328,32.454771,-0.643135,-1.732533,0.0005269465882626889,0.0002918250221739527,0.0001217556449217283,0.00041480159878990006,0.9804293213499271,0.00510561275354591,1,rotating,65006,24000,1
21,1952.999356,-16.094942,33.848917,-0.650548,2.019647,-15.807425,33.014392,-0.650364,-2.998619,0.0020616126792720735,0.0008893312244850904,-0.00023431211635926985,-5.9213683142757177e-05,0.9852646428427169,0.00396486968927711,1,rotating,68425,24000,1
22,1953.199446,-14.983128,33.920276,-0.625148,1.065523,-15.992110,33.544918,-0.655710,2.019642,-0.627310716584482,-1.146382001746019,0.023166851749704315,0.31052392601203704,0.8195965141975443,0.053942841216427194,1,rotating,71079,24000,1
23,1953.399912,-15.447562,34.100787,-0.629289,-0.191295,-14.801534,33.777579,-0.631809,1.059809,0.00022736265879430562,-0.004481033258279865,0.0020391522446127075,-0.000129991437964173,0.9862176206869129,0.0008010015181141132,1,rotating,74108,24000,1
24,1953.499759,-15.601637,33.023643,-0.645597,-1.717711,-15.078104,33.921155,-0.631151,-0.191353,0.4798695918261018,-1.691273326453576,-0.00941588118190656,-0.2724773999447015,0.554388278296552,0.05398603236133412,1,rotating,76149,24000,1
25,1953.699431,-15.737804,33.670505,-0.644544,-2.960026,-15.372310,32.473394,-0.644009,-1.717580,0.006440208234323563,-0.049116447547316255,0.0106744817932653,0.007611845589000678,0.9824093264468348,0.0055610354466644986,1,rotating,78188,24000,1
26,1953.799668,-14.997479,31.015248,-0.636518,2.179749,-15.653946,33.156494,-0.643796,-2.960189,-0.17061113328510302,1.957597181291149,-0.04394729240926276,0.1076705982139825,0.543721323729849,0.028844190504425073,1,rotating,81400,24000,1
27,1953.899504,-19.718804,24.625477,-0.839388,1.024861,-14.997479,31.015248,-0.636518,2.179749,-0.23615015427498776,1.7105117464604342,-0.020055600858654765,0.08871087096715678,0.606149488560725,0.007848801564809077,1,rotating,84340,24000,1
28,1954.099600,-25.845204,16.493617,-1.174784,-0.215644,-19.718804,24.625477,-0.839388,1.024861,-0.006570580380110158,-0.006278056923203934,-0.0019890557215618276,0.0004308061053239977,0.9864427993545742,7.914531205121203e-06,1,combined,87686,24000,1
29,1954.299665,-34.852630,5.815455,-1.664298,-1.447269,-25.845204,16.493617,-1.174784,-0.215644,-0.00023824469341704457,0.0010546364116041929,0.0002169389348715134,0.00038708133097606004,0.9848258663683653,2.9152513602821165e-07,1,combined,90974,24000,1
30,1954.499329,-46.515944,-7.132595,-2.284704,-2.680838,-34.852630,5.815455,-1.664298,-1.447269,0.00025395124651872436,-0.0011535960314503768,0.000829849349058942,1.1442766859744977e-05,0.9861939878714142,7.556762164300835e-09,1,combined,94429,24000,1
31,1954.699816,-60.481337,-22.446129,-3.026221,2.376059,-46.515944,-7.132595,-2.284704,-2.680838,0.0001285502004435557,-0.00231634911333245,0.00032710757243104016,-5.060783838003906e-05,0.9837198533556637,2.895640531002121e-08,1,combined,97983,24000,1
32,1954.799654,-76.736067,-40.478504,-3.907543,1.154005,-60.481337,-22.446129,-3.026221,2.376059,0.0001432374102350309,0.0002790051631293977,0.000291291567690255,-3.563574138153716e-05,0.9799683887838448,5.841861505760392e-08,1,combined,101480,24000,1
33,1954.999337,-95.601201,-61.308318,-4.940735,-0.067241,-76.736067,-40.478504,-3.907543,1.154005,-6.874164598968946e-05,-0.0030687300551548446,0.003161311270061695,0.0005586710701228431,0.9821479130618034,6.065776725939691e-07,1,combined,104813,24000,1
34,1955.099979,-117.299788,-84.659787,-6.122327,-1.279251,-95.601201,-61.308318,-4.940735,-0.067241,-0.00023739936949596085,-0.0009154745891493121,0.0015093500326681664,0.0001546824408217566,0.975969665582233,3.5068270987634266e-07,1,combined,108181,24000,1
35,1955.299679,-141.629388,-110.230675,-7.411254,-2.491576,-117.299788,-84.659787,-6.122327,-1.279251,0.0008696795194254037,-0.0006746195973335034,0.002892772416216438,0.0004874249722468624,0.9864501844658244,4.640717060341035e-07,1,combined,111748,24000,1
36,1955.399515,-168.241088,-138.015375,-8.788058,2.584608,-141.629388,-110.230675,-7.411254,-2.491576,-0.0006075518268744418,-0.00011362031286399343,0.0009574322332355223,0.00036671792583151694,0.9789731825686694,9.62620495794817e-07,1,combined,115315,24000,1
37,1955.499358,-197.015527,-168.339248,-10.271013,1.383868,-168.241088,-138.015375,-8.788058,2.584608,0.0037375687505232236,-0.0009482114914476369,-0.0032594786609454474,2.317417836509324e-06,0.9824242990209158,2.6111133618781337e-07,1,combined,118732,24000,1
38,1955.699435,-233.877791,-189.591621,-11.397413,-1.032503,-197.015527,-168.339248,-10.271013,1.383868,4.065369254504475,3.299500364096019,0.011837051130068943,-1.246934313395886,0.627677820971799,0.675866887127702,1,combined,122231,24000,1
39,1955.899516,-279.587099,-224.925713,-13.602409,-0.804023,-233.877791,-189.591621,-11.397413,-1.032503,1.460624652903249,-5.062137935145358,-0.032148224558167904,1.459503038310572,0.45322418570280343,0.8974009852903286,1,rotating,125745,24000,1
40,1955.999354,-310.470409,-242.307282,-14.806460,-1.897301,-279.587099,-224.925713,-13.602409,-0.804023,-0.28903820269353275,8.95371773934096,-0.4121017963292388,0.09695773087518599,0.1,0.10147063381084387,1,combined,6980,24000,1
41,1956.299680,-334.651841,-250.473640,-15.609527,-3.048752,-310.470409,-242.307282,-14.806460,-1.897301,-8.775857403984844,4.207000091104561,-0.3532204802109007,0.03770056511026211,0.1,0.11381431396181962,1,combined,10289,24000,1
42,1956.399509,-352.434020,-252.283402,-16.074514,1.923896,-334.737525,-250.514375,-15.612639,-3.049518,-7.281418752852687,-5.3457623678196455,-0.17659067053246602,-0.13084676561421565,0.1,0.10660200637254906,1,combined,13739,24000,1
43,1956.499352,-359.353203,-247.336030,-16.055171,0.965535,-352.438500,-252.284819,-16.074654,1.923846,2.5429929673579323,-10.12595925285683,-0.14959563316351066,0.22165455728065678,0.1,0.15126447549041738,1,combined,17254,24000,1
44,1956.699822,-358.813602,-233.835536,-15.620185,-0.293636,-359.400282,-247.339974,-16.056227,0.964731,10.09855222490853,-2.862839497952706,-0.18863310302056124,-0.08523181561447617,0.1,0.13131315601486657,1,combined,20738,24000,1
45,1956.799662,-353.035772,-218.314651,-15.008486,-1.509897,-358.816525,-233.833413,-15.620174,-0.293731,5.452455906899445,5.811616840050192,-0.2670501631835176,-0.04859887637660996,0.1,0.07851634861028378,1,combined,24049,24000,1
46,1956.899516,-370.692463,-238.681781,-13.001453,-1.889456,-353.042191,-218.284453,-15.007637,-1.510663,1.3131372758124655,-2.7020231480047414,6.666693130838265,1.3431296558968668,0.1,1.0209752177225968,1,combined,27710,24000,1
47,1957.099993,-375.040936,-285.952460,-36.489785,-3.049379,-370.778232,-238.863516,-13.069583,-1.892117,-2.947830758938011,6.019109221890403,-3.910642583632864,0.11783087508328276,0.1,0.07680097071974713,1,combined,31355,24000,1
48,1957.199826,-371.294675,-355.832493,-78.193542,2.424608,-375.106433,-286.280579,-36.651318,-3.050122,-8.888271247953071,-1.5570588722786098,-6.771275336266342,-0.18511372427418832,0.1,0.19353073110536034,1,combined,35089,24000,1
49,1957.399503,-420.384258,-445.784306,-145.953744,-1.245527,-371.327955,-356.272523,-78.438075,2.423491,1.2574474038234733,1.6208159422197355,0.6669015816409569,-1.0410098498221285,0.4682290720298381,1.3352157239159017,1,combined,38742,24000,1
50,1957.499354,-500.235183,-505.820288,-228.460986,-1.807761,-420.494800,-445.926793,-146.089999,-1.246010,0.02684946711939773,10.766378949225555,1.4223235816069177,0.027955268976450866,0.1,0.15586047789709176,1,combined,42278,24000,1
51,1957.599610,-605.602038,-539.191768,-321.280030,-2.462965,-500.415684,-505.935730,-228.642521,-1.807950,-13.35516221060118,9.27946900533982,-0.3559121947441213,0.05950706819203114,0.1,0.3508516049141067,1,combined,45915,24000,1
52,1957.799301,-708.356041,-569.584924,-442.001703,1.894952,-605.817607,-539.258690,-321.471308,-2.463562,5.164092761822417,-0.04636385647904717,-7.384586777835295,-1.9568732056162947,0.15390965170158877,1.5819103216401293,1,combined,49623,24000,1
53,1957.999785,-779.682582,-558.224789,-547.052849,0.418520,-708.492897,-569.609890,-442.166391,1.894648,2.909806643102968,-3.0547902114578847,13.510825905587126,-0.1560752306697729,0.1,0.3165311615506665,1,combined,53238,24000,1
54,1958.199467,-813.983867,-516.295441,-634.597041,-0.691409,-779.768971,-558.210406,-547.197584,0.418149,2.6426433400082487,-0.8834633398515308,21.012018602784224,-0.03421123532103883,0.1,0.7540154924715299,1,combined,56877,24000,1
55,1958.299321,-820.589535,-456.987810,-716.355861,-1.672325,-814.026927,-516.246969,-634.721160,-0.691675,4.040154676779565,-1.0719067868672028,15.948544613464946,0.005897152726081383,0.1,0.4559788018772785,1,combined,60501,24000,1
56,1958.499797,-789.671780,-374.107621,-780.859792,-3.040696,-820.631396,-456.610724,-716.933261,-1.674507,4.323374161709879,4.844076281427817,20.69687753041353,-0.011213752233446275,0.1,0.7993054475429895,1,combined,64289,24000,1
57,1958.699475,-730.057525,-273.844718,-833.779064,2.170134,-789.651344,-374.041261,-780.924816,-3.041020,-0.33868139415272935,7.345372422545694,18.07432028579865,-0.12805909021164963,0.1,0.6458592564127321,1,combined,68071,24000,1
58,1958.799308,-658.964464,-168.672509,-892.980713,1.210654,-730.017205,-273.770252,-833.830222,2.169896,-5.954075891085154,5.415596411345135,5.0933164691498405,0.12638876283945716,0.1,0.1401268439290343,1,combined,71873,24000,1
59,1958.999810,-572.408082,-42.149935,-968.649108,-0.115565,-658.737447,-168.328547,-893.189050,1.209309,0.052791298639448314,-0.011184341901753214,-0.003383748388159802,-0.008318557345738706,0.9651851474549309,0.00027679826067944014,1,combined,75640,24000,1
60,1959.099657,-467.551585,85.465429,-1019.070456,-1.047999,-572.375324,-42.103449,-968.676587,-0.115681,-5.215569070870146,-12.414293895290712,8.836072192749498,-0.016896083807637713,0.1,0.39683591455284983,1,combined,3695,24000,1
61,1959.299333,-349.899885,234.944044,-1089.619589,-2.211756,-467.247830,85.850624,-1019.256824,-1.048724,0.17316196654064697,-1.945811274004825,-0.0009913433993915532,-0.02892038598817242,0.8059045095708138,0.008612605099883137,1,combined,7494,24000,1
62,1959.399981,-219.378297,373.360002,-1134.606812,2.976179,-349.834781,235.025043,-1089.658323,-2.211952,18.34275670423915,5.108280426529859,5.474114162256797,0.15274921122999963,0.1,0.5897406824999278,1,combined,11160,24000,1
63,1959.599660,-69.793617,540.598204,-1203.176919,2.078332,-219.045359,373.734952,-1134.758595,2.975544,0.06318173474306832,-0.004304521730887245,-0.002806844116435059,0.0036709480571284563,0.9665650068084687,0.0004958317066548195,1,combined,14794,24000,1
64,1959.699502,84.164828,709.240462,-1273.847435,0.906042,-69.429968,541.001914,-1203.344293,2.077789,-3.392030736609513,7.301770270754901,-3.2740942052753326,-0.040176783516931366,0.1,0.1295902472081686,1,combined,18449,24000,1
65,1959.799358,206.946597,833.885681,-1323.719202,-0.344353,84.537493,709.647312,-1274.019183,0.905216,-36.95866805277865,-0.7590456965547219,-12.377042139979721,-0.040333500353213494,0.1,2.291338750661823,1,combined,22035,24000,1
66,1959.999459,353.603331,986.833921,-1387.576535,-1.179997,206.946597,833.885681,-1323.719202,-0.344353,-4.544606889421743,-8.297997028920008,-3.508509464623671,0.06228817705470063,0.1,0.15368156660799093,1,combined,25624,24000,1
67,1960.099306,520.245766,1162.186488,-1460.270689,-2.354693,353.603331,986.833921,-1387.576535,-1.179997,0.14501828388097238,-1.4545505154078455,-0.03313351213000715,-0.018841193695110493,0.8455139740906705,0.00359622117960255,1,combined,29294,24000,1
68,1960.299761,654.981133,1292.886390,-1511.056053,2.889782,520.245766,1162.186488,-1460.270689,-2.354693,34.78033683518447,3.5440725575290344,-10.358083814456904,0.1375162896815689,0.1,2.06177152862859,1,combined,32741,24000,1
69,1960.399604,800.371813,1436.985433,-1570.260862,1.889461,654.981133,1292.886390,-1511.056053,2.889782,9.395345395829963,13.785618338487666,-6.356230173859217,-0.1353128470068347,0.1,0.49621605339629,1,combined,36276,24000,1
70,1960.499437,903.158307,1531.453887,-1607.699369,0.589212,800.371813,1436.985433,-1570.260862,1.889461,-25.89457139583874,36.5204275020335,-16.050875801462666,-0.10760557075632364,0.1,3.4802758859899,1,combined,39747,24000,1
