scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1950.799611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,6026,24000,0
1,1950.899451,0.000000,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000059,nan,nan,nan,nan,nan,nan,-1,stationary,7789,24000,0
2,1950.999297,0.000000,0.000000,0.000000,0.000166,0.000000,0.000000,0.000000,0.000166,nan,nan,nan,nan,nan,nan,-1,stationary,8343,24000,0
3,1951.099944,0.000000,0.000000,0.000000,0.000360,0.000000,0.000000,0.000000,0.000360,nan,nan,nan,nan,nan,nan,-1,stationary,8682,24000,0
4,1951.199783,0.000000,0.000000,0.000000,0.000416,0.000000,0.000000,0.000000,0.000416,nan,nan,nan,nan,nan,nan,-1,stationary,8912,24000,0
5,1951.299620,0.000000,0.000000,0.000000,0.000526,0.000000,0.000000,0.000000,0.000526,nan,nan,nan,nan,nan,nan,-1,stationary,9097,24000,0
6,1951.399467,0.000000,0.000000,0.000000,0.000567,0.000000,0.000000,0.000000,0.000567,nan,nan,nan,nan,nan,nan,-1,stationary,9257,24000,0
7,1951.499323,0.000000,0.000000,0.000000,0.000624,0.000000,0.000000,0.000000,0.000624,nan,nan,nan,nan,nan,nan,-1,stationary,9356,24000,0
8,1951.599967,0.000000,0.000000,0.000000,0.000718,0.000000,0.000000,0.000000,0.000718,nan,nan,nan,nan,nan,nan,-1,stationary,9476,24000,0
9,1951.699814,0.000000,0.000000,0.000000,0.000707,0.000000,0.000000,0.000000,0.000707,nan,nan,nan,nan,nan,nan,-1,stationary,9584,24000,0
10,1951.799651,-0.000000,-0.000003,0.000001,0.000738,-0.000000,-0.000003,0.000001,0.000738,nan,nan,nan,nan,nan,nan,-1,stationary,6066,24000,0
11,1951.899477,-0.000002,-0.000004,0.000002,0.000665,-0.000002,-0.000004,0.000002,0.000665,nan,nan,nan,nan,nan,nan,-1,stationary,7911,24000,0
12,1951.999327,0.000000,-0.000005,0.000001,0.000614,0.000000,-0.000005,0.000001,0.000614,nan,nan,nan,nan,nan,nan,-1,stationary,8518,24000,0
13,1952.099978,0.000001,-0.000007,0.000002,0.000646,0.000001,-0.000007,0.000002,0.000646,nan,nan,nan,nan,nan,nan,-1,stationary,8852,24000,0
14,1952.199821,-0.000003,-0.000014,0.000002,0.000640,-0.000003,-0.000014,0.000002,0.000640,nan,nan,nan,nan,nan,nan,-1,stationary,9108,24000,0
15,1952.299657,-0.000000,-0.000014,0.000005,0.000720,-0.000000,-0.000014,0.000005,0.000720,nan,nan,nan,nan,nan,nan,-1,stationary,9308,24000,0
16,1952.399498,-0.000000,-0.000014,0.000004,0.000700,-0.000000,-0.000014,0.000004,0.000700,nan,nan,nan,nan,nan,nan,-1,stationary,9461,24000,0
17,1952.499356,-0.000002,-0.000014,0.000007,0.000759,-0.000002,-0.000014,0.000007,0.000759,nan,nan,nan,nan,nan,nan,-1,stationary,9578,24000,0
18,1952.599997,-0.000001,-0.000013,0.000007,0.000687,-0.000001,-0.000013,0.000007,0.000687,nan,nan,nan,nan,nan,nan,-1,stationary,9672,24000,0
19,1952.699828,0.000001,-0.000009,0.000011,0.000691,0.000001,-0.000009,0.000011,0.000691,nan,nan,nan,nan,nan,nan,-1,stationary,9768,24000,0
20,1952.799667,-0.000001,-0.000005,0.000014,0.000673,-0.000001,-0.000005,0.000014,0.000673,nan,nan,nan,nan,nan,nan,-1,stationary,9818,24000,0
21,1952.899509,-0.000002,-0.000006,0.000011,0.000667,-0.000002,-0.000006,0.000011,0.000667,nan,nan,nan,nan,nan,nan,-1,stationary,9930,24000,0
22,1952.999356,-0.000003,-0.000008,0.000015,0.000677,-0.000003,-0.000008,0.000015,0.000677,nan,nan,nan,nan,nan,nan,-1,stationary,10040,24000,0
23,1953.099604,-0.000002,-0.000011,0.000014,0.000633,-0.000002,-0.000011,0.000014,0.000633,nan,nan,nan,nan,nan,nan,-1,stationary,10114,24000,0
24,1953.199446,-0.000001,-0.000011,0.000014,0.000626,-0.000001,-0.000011,0.000014,0.000626,nan,nan,nan,nan,nan,nan,-1,stationary,10175,24000,0
25,1953.299291,0.000001,-0.000008,0.000013,0.000355,0.000001,-0.000008,0.000013,0.000355,nan,nan,nan,nan,nan,nan,-1,stationary,10236,24000,0
26,1953.399912,-0.000005,-0.000016,0.000017,0.000570,-0.000005,-0.000016,0.000017,0.000570,nan,nan,nan,nan,nan,nan,-1,stationary,10273,24000,0
27,1953.499759,-0.000008,-0.000011,0.000015,0.000436,-0.000008,-0.000011,0.000015,0.000436,nan,nan,nan,nan,nan,nan,-1,stationary,10303,24000,0
28,1953.599598,0.000000,-0.000008,0.000012,0.000476,0.000000,-0.000008,0.000012,0.000476,nan,nan,nan,nan,nan,nan,-1,stationary,10340,24000,0
29,1953.699431,-0.000005,-0.000014,0.000013,0.000540,-0.000005,-0.000014,0.000013,0.000540,nan,nan,nan,nan,nan,nan,-1,stationary,10370,24000,0
30,1953.799668,-0.000007,-0.000016,0.000014,0.000458,-0.000007,-0.000016,0.000014,0.000458,nan,nan,nan,nan,nan,nan,-1,stationary,10392,24000,0
31,1953.899504,-0.000001,-0.000010,0.000014,0.000450,-0.000001,-0.000010,0.000014,0.000450,nan,nan,nan,nan,nan,nan,-1,stationary,10418,24000,0
32,1953.999350,-0.000003,-0.000015,0.000018,0.000449,-0.000003,-0.000015,0.000018,0.000449,nan,nan,nan,nan,nan,nan,-1,stationary,10449,24000,0
33,1954.099600,-0.000009,-0.000014,0.000015,0.000389,-0.000009,-0.000014,0.000015,0.000389,nan,nan,nan,nan,nan,nan,-1,stationary,10495,24000,0
34,1954.199424,-0.000003,-0.000016,0.000004,0.000490,-0.000003,-0.000016,0.000004,0.000490,nan,nan,nan,nan,nan,nan,-1,stationary,10550,24000,0
35,1954.299665,-0.000015,-0.000013,0.000005,0.000544,-0.000015,-0.000013,0.000005,0.000544,nan,nan,nan,nan,nan,nan,-1,stationary,10610,24000,0
36,1954.399500,-0.000002,-0.000025,0.000006,0.000625,-0.000002,-0.000025,0.000006,0.000625,nan,nan,nan,nan,nan,nan,-1,stationary,10634,24000,0
37,1954.499329,-0.000008,-0.000028,0.000007,0.000566,-0.000008,-0.000028,0.000007,0.000566,nan,nan,nan,nan,nan,nan,-1,stationary,10653,24000,0
38,1954.599970,-0.000004,-0.000026,0.000011,0.000613,-0.000004,-0.000026,0.000011,0.000613,nan,nan,nan,nan,nan,nan,-1,stationary,10674,24000,0
39,1954.699816,-0.000005,-0.000031,0.000019,0.000652,-0.000005,-0.000031,0.000019,0.000652,nan,nan,nan,nan,nan,nan,-1,stationary,10686,24000,0
40,1954.799654,-0.000009,-0.000030,0.000023,0.000724,-0.000009,-0.000030,0.000023,0.000724,nan,nan,nan,nan,nan,nan,-1,stationary,10543,24000,0
41,1954.899494,-0.000007,-0.000025,0.000022,0.000805,-0.000007,-0.000025,0.000022,0.000805,nan,nan,nan,nan,nan,nan,-1,stationary,10564,24000,0
42,1954.999337,-0.000011,-0.000028,0.000022,0.000800,-0.000011,-0.000028,0.000022,0.000800,nan,nan,nan,nan,nan,nan,-1,stationary,10579,24000,0
43,1955.099979,-0.000008,-0.000026,0.000022,0.000806,-0.000008,-0.000026,0.000022,0.000806,nan,nan,nan,nan,nan,nan,-1,stationary,10601,24000,0
44,1955.199829,-0.000010,-0.000026,0.000021,0.000852,-0.000010,-0.000026,0.000021,0.000852,nan,nan,nan,nan,nan,nan,-1,stationary,10624,24000,0
45,1955.299679,-0.000003,-0.000027,0.000020,0.000678,-0.000003,-0.000027,0.000020,0.000678,nan,nan,nan,nan,nan,nan,-1,stationary,10656,24000,0
46,1955.399515,-0.000001,-0.000030,0.000021,0.000943,-0.000001,-0.000030,0.000021,0.000943,nan,nan,nan,nan,nan,nan,-1,stationary,10722,24000,0
47,1955.499358,-0.000037,-0.000009,0.000021,0.000873,-0.000037,-0.000009,0.000021,0.000873,nan,nan,nan,nan,nan,nan,-1,stationary,10776,24000,0
48,1955.599600,-0.000052,-0.000029,0.000029,0.001054,-0.000052,-0.000029,0.000029,0.001054,nan,nan,nan,nan,nan,nan,-1,stationary,10924,24000,0
49,1955.699435,0.000017,-0.000015,0.000028,0.001137,0.000017,-0.000015,0.000028,0.001137,nan,nan,nan,nan,nan,nan,-1,stationary,10935,24000,0
50,1955.799669,-0.000037,-0.000009,0.000024,0.001329,-0.000037,-0.000009,0.000024,0.001329,nan,nan,nan,nan,nan,nan,-1,stationary,10946,24000,0
51,1955.899516,-0.000056,-0.000015,0.000029,0.001323,-0.000056,-0.000015,0.000029,0.001323,nan,nan,nan,nan,nan,nan,-1,stationary,11054,24000,0
52,1955.999354,-0.000013,0.000013,0.000030,0.001058,-0.000013,0.000013,0.000030,0.001058,nan,nan,nan,nan,nan,nan,-1,stationary,11072,24000,0
53,1956.099994,-0.000026,-0.000029,0.000031,0.001311,-0.000026,-0.000029,0.000031,0.001311,nan,nan,nan,nan,nan,nan,-1,stationary,11089,24000,0
54,1956.199832,-0.000020,-0.000031,0.000030,0.001230,-0.000020,-0.000031,0.000030,0.001230,nan,nan,nan,nan,nan,nan,-1,stationary,11120,24000,0
55,1956.299680,-0.000012,-0.000018,0.000028,0.001214,-0.000012,-0.000018,0.000028,0.001214,nan,nan,nan,nan,nan,nan,-1,stationary,11131,24000,0
56,1956.399509,-0.000016,-0.000025,0.000027,0.001241,-0.000016,-0.000025,0.000027,0.001241,nan,nan,nan,nan,nan,nan,-1,stationary,11143,24000,0
57,1956.499352,0.000010,-0.000018,0.000022,0.000961,0.000010,-0.000018,0.000022,0.000961,nan,nan,nan,nan,nan,nan,-1,stationary,11168,24000,0
58,1956.599978,-0.000015,-0.000003,0.000023,0.001425,-0.000015,-0.000003,0.000023,0.001425,nan,nan,nan,nan,nan,nan,-1,stationary,11224,24000,0
59,1956.699822,0.000015,0.000000,0.000026,0.000957,0.000015,0.000000,0.000026,0.000957,nan,nan,nan,nan,nan,nan,-1,stationary,11288,24000,0
60,1956.799662,-0.000007,-0.000018,0.000021,0.001447,-0.000007,-0.000018,0.000021,0.001447,nan,nan,nan,nan,nan,nan,-1,stationary,11142,24000,0
61,1956.899516,-0.000002,-0.000011,0.000016,0.001365,-0.000002,-0.000011,0.000016,0.001365,nan,nan,nan,nan,nan,nan,-1,stationary,11159,24000,0
62,1956.999363,-0.000005,-0.000019,0.000014,0.003116,-0.000005,-0.000019,0.000014,0.003116,nan,nan,nan,nan,nan,nan,-1,stationary,11169,24000,0
63,1957.099993,-0.000009,-0.000015,0.000016,0.002995,-0.000009,-0.000015,0.000016,0.002995,nan,nan,nan,nan,nan,nan,-1,stationary,11185,24000,0
64,1957.199826,0.000062,-0.000021,0.000007,0.004854,0.000062,-0.000021,0.000007,0.004854,nan,nan,nan,nan,nan,nan,-1,stationary,11197,24000,0
65,1957.299666,0.000028,0.000038,0.000010,0.004354,0.000028,0.000038,0.000010,0.004354,nan,nan,nan,nan,nan,nan,-1,stationary,11207,24000,0
66,1957.399503,-0.000002,0.000039,0.000014,0.005229,-0.000002,0.000039,0.000014,0.005229,nan,nan,nan,nan,nan,nan,-1,stationary,11235,24000,0
67,1957.499354,0.000130,0.000023,-0.000004,0.008477,0.000130,0.000023,-0.000004,0.008477,nan,nan,nan,nan,nan,nan,-1,stationary,11249,24000,0
68,1957.599610,0.000053,0.000037,-0.000001,0.007976,0.000053,0.000037,-0.000001,0.007976,nan,nan,nan,nan,nan,nan,-1,stationary,11269,24000,0
69,1957.699452,0.000351,0.000229,-0.000006,0.012795,0.000351,0.000229,-0.000006,0.012795,nan,nan,nan,nan,nan,nan,-1,stationary,11546,24000,0
70,1957.799301,0.012756,-0.000933,0.000010,0.021483,0.004426,0.002467,-0.000022,0.024419,0.012214557095597328,-0.0013197577179391658,0.0005339863259671683,0.008691827756917259,0.9745131388393472,0.00012235166168538694,1,mild,11682,24000,1
71,1957.899948,0.023514,0.000472,-0.000155,0.032558,0.020579,0.002500,0.000009,0.030636,0.012026529930223783,0.00026404508674441034,-0.0029945740218237497,0.011115389042672915,0.9703133073545034,0.004034267102199005,1,mild,11816,24000,1
72,1957.999785,0.029252,0.002495,0.000244,0.037591,0.021688,-0.000135,0.000019,0.035382,0.013688882892324252,0.005382593238399384,-0.0002632772911839453,0.004561022868597565,0.9758891122523509,0.1255653389850308,1,mild,11902,24000,1
73,1958.099626,0.045090,0.003978,0.000349,0.033124,0.032483,-0.001836,-0.000024,0.030589,0.01889912993596936,0.006034203204765987,0.0008710641227441748,-0.005086211309942577,0.9770467733350335,0.05778701413557273,1,mild,11959,24000,1
74,1958.199467,0.063527,0.001701,0.000214,0.019748,0.060059,-0.002077,0.000117,0.019374,0.01869352230084862,-0.0011797718609263287,0.000957449370378846,-0.013562532302258358,0.9678284221482836,0.004200548531290982,1,mild,12064,24000,1
75,1958.299321,0.079730,-0.009145,0.000119,0.011939,0.080135,-0.007463,0.000081,0.012353,0.015385072905474667,-0.011812499293968472,0.0014172155247568477,-0.007705956904633771,0.9748438808002042,0.0017436983843473395,1,mild,12124,24000,1
76,1958.399966,0.105246,-0.018758,0.000997,-0.002217,0.104574,-0.015834,-0.000141,-0.005896,0.02396220150223405,-0.010127493629663427,0.005231846171959158,-0.013736226644063694,0.9600314650992507,0.023124782174628423,1,translating,12268,24000,1
77,1958.499797,0.132660,-0.026419,-0.000611,-0.020453,0.134884,-0.025774,-0.000406,-0.020118,0.027497679451676957,-0.007841791804728004,-0.0020835384105346365,-0.018265489713791053,0.9630698173755581,0.002710585368492307,1,translating,12475,24000,1
78,1958.599637,0.154419,-0.031034,-0.001740,-0.029157,0.157860,-0.033977,-0.000120,-0.026507,0.02359807512029302,-0.003737710177432598,-0.006570123009699824,-0.009193437155441023,0.9707442633165559,0.039723757231189476,1,translating,12598,24000,1
79,1958.699475,0.176672,-0.034205,-0.001157,-0.036325,0.173611,-0.033905,-0.000117,-0.036163,0.02424270687788152,-0.002509969688386956,-0.0039323163339884575,-0.007310825449443551,0.9719851428836882,0.022729865639860326,1,translating,12731,24000,1
80,1958.799308,0.187732,-0.035326,0.000936,-0.039131,0.173100,-0.033802,-0.000133,-0.038246,0.02361344834632087,-0.002034315502546003,-0.001126512213384714,-0.003246453600994595,0.9756514906202925,0.30562855033198716,1,mild,12715,24000,1
81,1958.899960,0.208912,-0.038218,0.001636,-0.041172,0.184701,-0.035239,-0.000421,-0.042846,0.027689664321150304,-0.003495837038536665,-0.00013188529330809243,-0.002252327842513759,0.9731811182741136,0.8047512002162692,1,translating,12836,24000,1
82,1958.999810,0.245009,-0.043039,0.000337,-0.047685,0.245190,-0.042319,0.000190,-0.047718,0.0360508716557901,-0.003529105577449114,-0.0006127767839012198,-0.0065546439798912556,0.9668346176928039,0.0004800686682958165,1,translating,12961,24000,1
83,1959.099657,0.278386,-0.045297,-0.000598,-0.052683,0.278129,-0.046827,-0.000369,-0.050906,0.03384466888156529,-0.00027461197189292824,-0.0017855546368224847,-0.005061237030635589,0.9743586018652332,0.0025284945812275913,1,translating,13062,24000,1
84,1959.199491,0.309651,-0.048461,-0.000130,-0.057310,0.308913,-0.048937,-0.000117,-0.056585,0.031531640027643526,-0.0012985565022965821,0.00034731548147870354,-0.0046692958338619105,0.9027783034558495,0.000840255541364019,1,translating,13164,24000,1
85,1959.299333,0.345415,-0.060767,-0.000137,-0.059713,0.352599,-0.055072,-0.000075,-0.058439,0.03602244508780916,-0.011346624766091096,0.0004919565668257506,-0.0022661254171746194,0.9659327499528162,0.017593143190203907,1,translating,13314,24000,1
86,1959.399981,0.377929,-0.066924,0.000900,-0.061100,0.369416,-0.068566,0.000305,-0.061593,0.033402466267824615,-0.0033988879019959464,0.002255896722329641,-0.0015200430038354899,0.9735080721165208,0.04039274164847549,1,translating,13423,24000,1
