scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,2786,24000,0
1,1951.899477,-0.000004,-0.000004,0.000001,0.000004,-0.000004,-0.000004,0.000001,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,3285,24000,0
2,1951.999327,-0.000008,-0.000006,0.000002,-0.000037,-0.000008,-0.000006,0.000002,-0.000037,nan,nan,nan,nan,nan,nan,-1,stationary,3427,24000,0
3,1952.099978,-0.000009,-0.000007,0.000002,-0.000065,-0.000009,-0.000007,0.000002,-0.000065,nan,nan,nan,nan,nan,nan,-1,stationary,3509,24000,0
4,1952.199821,-0.000013,-0.000013,0.000001,-0.000070,-0.000013,-0.000013,0.000001,-0.000070,nan,nan,nan,nan,nan,nan,-1,stationary,3566,24000,0
5,1952.299657,-0.000014,-0.000020,0.000006,-0.000046,-0.000014,-0.000020,0.000006,-0.000046,nan,nan,nan,nan,nan,nan,-1,stationary,3611,24000,0
6,1952.399498,-0.000015,-0.000022,0.000005,0.000071,-0.000015,-0.000022,0.000005,0.000071,nan,nan,nan,nan,nan,nan,-1,stationary,3657,24000,0
7,1952.499356,-0.000018,-0.000023,0.000005,0.000111,-0.000018,-0.000023,0.000005,0.000111,nan,nan,nan,nan,nan,nan,-1,stationary,3688,24000,0
8,1952.599997,-0.000019,-0.000022,0.000004,0.000054,-0.000019,-0.000022,0.000004,0.000054,nan,nan,nan,nan,nan,nan,-1,stationary,3727,24000,0
9,1952.699828,-0.000018,-0.000021,0.000005,0.000020,-0.000018,-0.000021,0.000005,0.000020,nan,nan,nan,nan,nan,nan,-1,stationary,3756,24000,0
10,1952.799667,-0.000021,-0.000017,0.000007,0.000016,-0.000021,-0.000017,0.000007,0.000016,nan,nan,nan,nan,nan,nan,-1,stationary,3786,24000,0
11,1952.899509,-0.000028,-0.000020,0.000008,0.000035,-0.000028,-0.000020,0.000008,0.000035,nan,nan,nan,nan,nan,nan,-1,stationary,3834,24000,0
12,1952.999356,-0.000031,-0.000023,0.000005,0.000029,-0.000031,-0.000023,0.000005,0.000029,nan,nan,nan,nan,nan,nan,-1,stationary,3886,24000,0
13,1953.099604,-0.000031,-0.000024,0.000004,0.000020,-0.000031,-0.000024,0.000004,0.000020,nan,nan,nan,nan,nan,nan,-1,stationary,3917,24000,0
14,1953.199446,-0.000030,-0.000026,0.000002,-0.000035,-0.000030,-0.000026,0.000002,-0.000035,nan,nan,nan,nan,nan,nan,-1,stationary,3937,24000,0
15,1953.299291,-0.000038,-0.000023,0.000004,-0.000215,-0.000038,-0.000023,0.000004,-0.000215,nan,nan,nan,nan,nan,nan,-1,stationary,3948,24000,0
16,1953.399912,-0.000021,-0.000032,0.000001,-0.000365,-0.000021,-0.000032,0.000001,-0.000365,nan,nan,nan,nan,nan,nan,-1,stationary,3963,24000,0
17,1953.499759,-0.000048,-0.000048,0.000008,-0.000098,-0.000048,-0.000048,0.000008,-0.000098,nan,nan,nan,nan,nan,nan,-1,stationary,3970,24000,0
18,1953.599598,-0.000052,-0.000041,0.000003,-0.000184,-0.000052,-0.000041,0.000003,-0.000184,nan,nan,nan,nan,nan,nan,-1,stationary,3976,24000,0
19,1953.699431,-0.000058,-0.000052,0.000005,-0.000102,-0.000058,-0.000052,0.000005,-0.000102,nan,nan,nan,nan,nan,nan,-1,stationary,3985,24000,0
20,1953.799668,-0.000068,-0.000065,0.000005,-0.000093,-0.000068,-0.000065,0.000005,-0.000093,nan,nan,nan,nan,nan,nan,-1,stationary,3882,24000,0
21,1953.899504,-0.000059,-0.000057,0.000003,-0.000201,-0.000059,-0.000057,0.000003,-0.000201,nan,nan,nan,nan,nan,nan,-1,stationary,3890,24000,0
22,1953.999350,-0.000059,-0.000065,0.000007,-0.000187,-0.000059,-0.000065,0.000007,-0.000187,nan,nan,nan,nan,nan,nan,-1,stationary,3903,24000,0
23,1954.099600,-0.000067,-0.000069,0.000008,-0.000221,-0.000067,-0.000069,0.000008,-0.000221,nan,nan,nan,nan,nan,nan,-1,stationary,3925,24000,0
24,1954.199424,-0.000062,-0.000072,-0.000004,-0.000126,-0.000062,-0.000072,-0.000004,-0.000126,nan,nan,nan,nan,nan,nan,-1,stationary,3976,24000,0
25,1954.299665,-0.000075,-0.000070,-0.000001,-0.000071,-0.000075,-0.000070,-0.000001,-0.000071,nan,nan,nan,nan,nan,nan,-1,stationary,4021,24000,0
26,1954.399500,-0.000062,-0.000082,0.000001,0.000009,-0.000062,-0.000082,0.000001,0.000009,nan,nan,nan,nan,nan,nan,-1,stationary,4035,24000,0
27,1954.499329,-0.000071,-0.000089,0.000003,0.000023,-0.000071,-0.000089,0.000003,0.000023,nan,nan,nan,nan,nan,nan,-1,stationary,4042,24000,0
28,1954.599970,-0.000074,-0.000088,0.000007,0.000015,-0.000074,-0.000088,0.000007,0.000015,nan,nan,nan,nan,nan,nan,-1,stationary,4051,24000,0
29,1954.699816,-0.000074,-0.000096,0.000013,0.000055,-0.000074,-0.000096,0.000013,0.000055,nan,nan,nan,nan,nan,nan,-1,stationary,4056,24000,0
30,1954.799654,-0.000079,-0.000098,0.000013,0.000127,-0.000079,-0.000098,0.000013,0.000127,nan,nan,nan,nan,nan,nan,-1,stationary,4062,24000,0
31,1954.899494,-0.000075,-0.000100,0.000008,0.000190,-0.000075,-0.000100,0.000008,0.000190,nan,nan,nan,nan,nan,nan,-1,stationary,4067,24000,0
32,1954.999337,-0.000084,-0.000106,0.000007,0.000252,-0.000084,-0.000106,0.000007,0.000252,nan,nan,nan,nan,nan,nan,-1,stationary,4071,24000,0
33,1955.099979,-0.000083,-0.000107,0.000005,0.000268,-0.000083,-0.000107,0.000005,0.000268,nan,nan,nan,nan,nan,nan,-1,stationary,4079,24000,0
34,1955.199829,-0.000086,-0.000108,0.000005,0.000328,-0.000086,-0.000108,0.000005,0.000328,nan,nan,nan,nan,nan,nan,-1,stationary,4088,24000,0
35,1955.299679,-0.000076,-0.000113,0.000008,0.000133,-0.000076,-0.000113,0.000008,0.000133,nan,nan,nan,nan,nan,nan,-1,stationary,4110,24000,0
36,1955.399515,-0.000081,-0.000130,0.000009,0.000486,-0.000081,-0.000130,0.000009,0.000486,nan,nan,nan,nan,nan,nan,-1,stationary,4165,24000,0
37,1955.499358,-0.000112,-0.000116,0.000009,0.000302,-0.000112,-0.000116,0.000009,0.000302,nan,nan,nan,nan,nan,nan,-1,stationary,4216,24000,0
38,1955.599600,-0.000132,-0.000135,0.000015,0.000483,-0.000132,-0.000135,0.000015,0.000483,nan,nan,nan,nan,nan,nan,-1,stationary,4250,24000,0
39,1955.699435,-0.000066,-0.000123,0.000010,0.000566,-0.000066,-0.000123,0.000010,0.000566,nan,nan,nan,nan,nan,nan,-1,stationary,4252,24000,0
40,1955.799669,-0.000117,-0.000116,0.000004,0.000756,-0.000117,-0.000116,0.000004,0.000756,nan,nan,nan,nan,nan,nan,-1,stationary,4074,24000,0
41,1955.899516,-0.000142,-0.000121,0.000008,0.000751,-0.000142,-0.000121,0.000008,0.000751,nan,nan,nan,nan,nan,nan,-1,stationary,4092,24000,0
42,1955.999354,-0.000102,-0.000091,0.000007,0.000484,-0.000102,-0.000091,0.000007,0.000484,nan,nan,nan,nan,nan,nan,-1,stationary,4099,24000,0
43,1956.099994,-0.000115,-0.000130,0.000007,0.000738,-0.000115,-0.000130,0.000007,0.000738,nan,nan,nan,nan,nan,nan,-1,stationary,4108,24000,0
44,1956.199832,-0.000112,-0.000134,0.000005,0.000660,-0.000112,-0.000134,0.000005,0.000660,nan,nan,nan,nan,nan,nan,-1,stationary,4120,24000,0
45,1956.299680,-0.000102,-0.000117,0.000005,0.000651,-0.000102,-0.000117,0.000005,0.000651,nan,nan,nan,nan,nan,nan,-1,stationary,4125,24000,0
46,1956.399509,-0.000119,-0.000125,0.000009,0.000720,-0.000119,-0.000125,0.000009,0.000720,nan,nan,nan,nan,nan,nan,-1,stationary,4131,24000,0
47,1956.499352,-0.000093,-0.000125,0.000004,0.000502,-0.000093,-0.000125,0.000004,0.000502,nan,nan,nan,nan,nan,nan,-1,stationary,4153,24000,0
48,1956.599978,-0.000114,-0.000109,0.000005,0.000964,-0.000114,-0.000109,0.000005,0.000964,nan,nan,nan,nan,nan,nan,-1,stationary,4200,24000,0
49,1956.699822,-0.000084,-0.000105,0.000006,0.000496,-0.000084,-0.000105,0.000006,0.000496,nan,nan,nan,nan,nan,nan,-1,stationary,4252,24000,0
50,1956.799662,-0.000102,-0.000121,0.000001,0.000985,-0.000102,-0.000121,0.000001,0.000985,nan,nan,nan,nan,nan,nan,-1,stationary,4285,24000,0
51,1956.899516,0.000026,-0.000154,-0.000035,0.000251,0.000026,-0.000154,-0.000035,0.000251,nan,nan,nan,nan,nan,nan,-1,stationary,4288,24000,0
52,1956.999363,-0.000084,-0.000111,-0.000004,0.001639,-0.000084,-0.000111,-0.000004,0.001639,nan,nan,nan,nan,nan,nan,-1,stationary,4294,24000,0
53,1957.099993,-0.000064,-0.000138,-0.000000,0.003151,-0.000064,-0.000138,-0.000000,0.003151,nan,nan,nan,nan,nan,nan,-1,stationary,4295,24000,0
54,1957.199826,-0.000396,0.000013,0.000008,0.003919,-0.000396,0.000013,0.000008,0.003919,nan,nan,nan,nan,nan,nan,-1,stationary,4296,24000,0
55,1957.299666,0.002771,-0.000833,-0.000193,0.004118,0.000585,-0.000492,-0.000000,0.004994,0.004396005082617533,-0.0008846272729016385,-0.003242355796604712,9.794159421071095e-05,0.9788173364688892,0.0018521626553463454,1,mild,4298,24000,1
56,1957.399503,0.002582,-0.000707,-0.000003,0.004602,0.002582,-0.000707,-0.000003,0.004602,nan,nan,nan,nan,nan,nan,-1,stationary,4310,24000,0
57,1957.499354,0.002546,-0.000724,0.000006,0.007979,0.002546,-0.000724,0.000006,0.007979,nan,nan,nan,nan,nan,nan,-1,stationary,4314,24000,0
58,1957.599610,0.002618,-0.000722,-0.000006,0.007861,0.002618,-0.000722,-0.000006,0.007861,nan,nan,nan,nan,nan,nan,-1,stationary,4324,24000,0
59,1957.699452,0.002725,-0.000651,0.000009,0.009095,0.002725,-0.000651,0.000009,0.009095,nan,nan,nan,nan,nan,nan,-1,stationary,4376,24000,0
60,1957.799301,0.014485,-0.005847,0.000049,0.019366,0.004016,0.000089,-0.000005,0.016874,0.011996743451655353,-0.00604583229818676,0.00020439511112614183,0.010358941912555783,0.9724354087599363,0.00531750490840726,1,mild,4274,24000,1
61,1957.899948,0.024039,-0.007966,-0.000063,0.030988,0.040967,-0.012466,-0.000023,0.031556,0.009552993204126484,-0.0021809390861392917,-0.0005488709894564213,0.011588980293124666,0.9735564317215537,0.0031662074103439714,1,mild,4344,24000,1
62,1957.999785,0.036993,-0.001166,-0.000088,0.035346,0.034947,-0.006722,-0.000023,0.041698,0.013666763434981466,0.006784234172869837,-0.0012258747509726736,0.004228335445494201,0.9568861916403937,0.0037825054858465347,1,mild,4389,24000,1
63,1958.099626,0.051962,0.001713,-0.000016,0.030687,0.038169,-0.001857,0.000033,0.037464,0.017135833119687534,0.00393440819651654,-0.0022213308615975876,-0.004996072373419988,0.9767619632812904,0.021751666715240734,1,mild,4408,24000,1
64,1958.199467,0.070179,0.000267,-0.000078,0.017659,0.084012,-0.000138,0.000007,0.021084,0.018364216679522948,-0.0017855806117686559,-0.0008115468544592254,-0.01309666407553779,0.9689530805143403,0.0036476751637832677,1,mild,4438,24000,1
65,1958.299321,0.084062,-0.011070,0.000047,0.009735,0.083743,-0.010346,0.000093,0.001409,0.013592495025651422,-0.011919028301915845,0.0005715977449022229,-0.007783727430597899,0.9745985956644979,0.009720943146350074,1,mild,4452,24000,1
66,1958.399966,0.107915,-0.022639,0.000001,-0.004033,0.103105,-0.034743,-0.000034,-0.006859,0.022482863339749817,-0.011318329716975951,0.0038003220937967925,-0.013720269047077304,0.9682000605770287,0.008102258910280904,1,translating,4575,24000,1
67,1958.499797,0.132728,-0.030069,-0.000028,-0.022158,0.124986,-0.023121,0.000257,-0.017992,0.02714586882403977,-0.008480401602450536,-0.005022606689111214,-0.01819432123345017,0.9641187934692799,0.005879995913172722,1,translating,4653,24000,1
68,1958.599637,0.153454,-0.032589,-0.000190,-0.030926,0.202716,-0.046908,-0.000184,-0.044910,0.022656696696734174,-0.002625808228941078,-0.006909965208358161,-0.008783450120129236,0.968654913000575,0.02081883125198379,1,translating,4705,24000,1
69,1958.699475,0.172229,-0.032684,0.000257,-0.037811,0.152993,-0.031442,0.000668,-0.034009,0.023310817466548728,0.0016351370057547908,-0.0022795491599020283,-0.007128724780783358,0.9716320876475028,0.027081161408730247,1,translating,4745,24000,1
70,1958.799308,0.198785,-0.031384,-0.000018,-0.041736,0.186265,-0.032883,-0.000061,-0.045187,0.02804192409746628,0.0032145028671596507,1.7994494284790307e-05,-0.003960737769369776,0.9725361831364909,0.007648148487477589,1,translating,4778,24000,1
71,1958.899960,0.218220,-0.034749,0.000030,-0.043811,0.198792,-0.031479,-0.000005,-0.043468,0.024882341544716996,-0.0034523100208974193,-0.0042853624939686195,-0.00226890281031347,0.9722902963829781,0.09572805174064145,1,mild,4798,24000,1
72,1958.999810,0.250186,-0.039377,-0.000160,-0.050198,0.221197,-0.035275,-0.001381,-0.049446,0.035515780043242545,-0.004188717437030226,-0.0028077128652739067,-0.006527034405833017,0.9639238541725093,0.0256932413336947,1,translating,4866,24000,1
73,1959.099657,0.284592,-0.047283,0.000072,-0.055070,0.319219,-0.046978,0.000553,-0.057458,0.03479962886010268,-0.0064723408535573256,-0.0016279131727856269,-0.004788511817964576,0.9703183040951305,0.01547042956037488,1,translating,4941,24000,1
74,1959.199491,0.315056,-0.047014,-0.000029,-0.059834,0.309760,-0.053575,-0.000098,-0.058110,0.030488697825448052,0.002703645346540058,-4.357034620466752e-05,-0.0048220636489429095,0.9695291710930296,0.002016144954637889,1,translating,5008,24000,1
75,1959.299333,0.351182,-0.062280,-0.000018,-0.061922,0.351525,-0.049247,0.000158,-0.067585,0.0375448437188487,-0.015001946402760997,-0.0014681399404566336,-0.002004312148253355,0.967899471994427,0.005410085080021352,1,translating,5070,24000,1
76,1959.399981,0.385120,-0.069551,0.000060,-0.063679,0.394028,-0.078146,0.000219,-0.061413,0.03383076378711064,-0.00414135180580346,0.0010004915924409824,-0.0018318543775706496,0.968552009131358,0.002165306625715647,1,translating,5097,24000,1
77,1959.499822,0.413187,-0.072768,-0.000330,-0.059859,0.417135,-0.075271,-0.001183,-0.062565,0.029589114608218947,-0.0012339961315887826,-0.004316764487210214,0.00381486330539462,0.9724493682497519,0.002206772671156751,1,translating,5110,24000,1
78,1959.599660,0.447684,-0.074462,-0.000082,-0.060037,0.437406,-0.077421,0.000209,-0.053399,0.03719681802981978,0.0012322980721713311,-0.006756083092807113,-0.000351693858883517,0.970982375637952,0.007215879302585875,1,translating,5126,24000,1
79,1959.699502,0.478110,-0.084637,0.000053,-0.060025,0.487801,-0.080343,0.000269,-0.060155,0.031080876289396486,-0.008963240128803965,-0.0005099370481868178,2.2662561831171305e-05,0.9741953558280769,0.0024471027288453756,1,translating,5138,24000,1
80,1959.799358,0.505492,-0.094513,-0.000201,-0.059519,0.480745,-0.084731,-0.000164,-0.060577,0.03165494293372656,-0.009866549732957315,-0.00591785909746741,0.0005288972388849404,0.9740884263696079,0.05691408139061845,1,mild,4996,24000,1
81,1959.899624,0.530552,-0.097050,-0.000590,-0.058940,0.509925,-0.095126,-0.000254,-0.059270,0.03471472323526492,-0.001902753164081214,-0.01659461746293728,0.00030345852880328826,0.9737667963949644,0.1519121109535135,1,mild,5011,24000,1
82,1959.999459,0.565306,-0.110342,-0.000023,-0.057914,0.567211,-0.100076,-0.000165,-0.057048,0.03534180943196785,-0.013480288643849592,0.0011313304836297103,0.0011381310311803696,0.9694105748973705,0.002241029365474978,1,translating,5018,24000,1
83,1960.099306,0.593933,-0.115923,-0.000096,-0.057622,0.571591,-0.112206,-0.000613,-0.059754,0.03589965008694329,-0.0059811259224143015,-0.006545760513767547,0.0003042311484954837,0.9714696088604838,0.04491348844205515,1,translating,5028,24000,1
84,1960.199941,0.633024,-0.131774,0.000039,-0.052982,0.621688,-0.119792,0.000101,-0.054286,0.04182956330864407,-0.01561545366861998,-0.004269179772407371,0.004693716308593517,0.9686264237456501,0.0032594946724352272,1,translating,5048,24000,1
85,1960.299761,0.666278,-0.142557,0.000026,-0.047001,0.664193,-0.145062,0.000118,-0.046663,0.0342433083042315,-0.008458736140001227,-0.00080495021185667,0.00596199649690924,0.967054154416079,0.0012780309417916695,1,translating,5094,24000,1
86,1960.399604,0.705603,-0.165093,-0.000104,-0.035279,0.729850,-0.161417,-0.000148,-0.028956,0.040084632988904745,-0.020533537120985768,0.0003286602530738587,0.011592798353821602,0.9609555610433145,0.003775640853137434,1,translating,5161,24000,1
87,1960.499437,0.725312,-0.167242,0.000185,-0.018276,0.710476,-0.169589,0.000666,-0.029424,0.02751755801538558,-0.007801617026199081,-0.006487911391103774,0.01829955071555718,0.9670247213950105,0.14802336211247621,1,translating,5201,24000,1
88,1960.599669,0.758698,-0.170579,-0.000022,-0.001918,0.782804,-0.170735,0.000169,0.001986,0.0334308885735497,-0.002354202112394649,-0.0017515987910405586,0.016288841755251356,0.9621245093988213,0.005659498127679676,1,translating,5231,24000,1
89,1960.699502,0.782331,-0.173737,-0.000093,0.020194,0.781090,-0.167382,-0.000266,0.021779,0.024690166627790777,-0.003571750302652388,-0.0028096513536817595,0.022081264481844217,0.9619913956903781,0.0012523163504598687,1,translating,5264,24000,1
90,1960.799339,0.807254,-0.165797,-0.000335,0.038707,0.801650,-0.175087,-0.000107,0.048809,0.027164886515315234,0.008517630971432016,-0.0063898314679581205,0.018068622349172635,0.9651867801940188,0.015441575112021207,1,mild,5278,24000,1
91,1960.899995,0.836788,-0.161103,0.000050,0.051483,0.847946,-0.152911,0.000076,0.068960,0.029740586379616296,0.004502454573814901,-7.645489122006183e-05,0.012590685548824782,0.9679859186711453,0.01675389065238514,1,translating,5288,24000,1
92,1960.999832,0.855405,-0.164104,0.000285,0.059905,0.840318,-0.159989,0.000788,0.053660,0.025425872965787688,-0.009278088738238044,-0.004507868614553036,0.009291375254412123,0.9718622550003447,0.06366569139484037,1,translating,5300,24000,1
93,1961.099665,0.883615,-0.175119,-0.000241,0.066940,0.905394,-0.161930,-0.000091,0.069928,0.03116703925331188,-0.014790444693597499,-0.012417915265799322,0.006968298843968759,0.9732119620786953,0.010768061249365374,1,translating,5302,24000,1
94,1961.199497,0.912882,-0.176920,0.000069,0.058986,0.911364,-0.188465,0.000413,0.066106,0.02947258818656684,-0.0029675113231129313,-0.00048764672524929465,-0.008169013019831355,0.9714186145813005,0.006756185110953884,1,mild,5313,24000,1
95,1961.299338,0.940030,-0.174668,0.000138,0.042146,0.940881,-0.180461,0.000935,0.042610,0.02858920695175038,0.001639865973895066,-0.0034576151287244875,-0.016941940096898228,0.9659105285483838,0.001059335063891166,1,translating,5342,24000,1
96,1961.399968,0.972483,-0.165388,0.000011,0.026233,0.977329,-0.166708,0.000030,0.014428,0.033005021410081214,0.007235488701311826,-0.0010183380810382119,-0.015737938323621713,0.9669772254198202,0.010857220348192748,1,translating,5360,24000,1
97,1961.499800,1.002845,-0.166441,-0.000127,0.018554,0.984221,-0.162394,-0.000501,0.021418,0.03400835288949744,-0.002898209843261723,-0.00532789006591476,-0.00783837352568894,0.9685654172120041,0.016607401728195685,1,translating,5422,24000,1
98,1961.599645,1.037008,-0.164004,-0.000118,0.014732,1.068936,-0.166951,-0.000801,0.013059,0.03299636030252484,0.0018353243294556287,0.0008585389481230276,-0.003795937808038988,0.9722532576537021,0.008456100347638582,1,translating,5483,24000,1
99,1961.699489,1.065314,-0.168482,0.000009,0.011311,1.059036,-0.163131,0.000038,0.009067,0.028772227363787373,-0.005530403095936054,-0.0008361243046161523,-0.0033240130253571736,0.975169952234376,0.002275415304397745,1,translating,5508,24000,1
100,1961.799340,1.091339,-0.167803,0.000008,0.012070,1.071680,-0.169253,-0.000019,0.011600,0.028920629501217876,0.0010338543673257261,-5.632139085714636e-05,0.0007714271589663916,0.9728334319542085,0.02194158857587098,1,translating,5316,24000,1
101,1961.899988,1.124268,-0.168881,0.000011,0.015157,1.092537,-0.167748,-0.000070,0.017338,0.03789812666168113,-0.0017472843134376803,-0.0042129337356059116,0.0031583689590049657,0.9669041398939183,0.09355476193979792,1,mild,5338,24000,1
102,1961.999840,1.153249,-0.170495,0.000068,0.021807,1.162669,-0.170428,0.000625,0.016698,0.029580687967883934,-0.004084610801206229,-0.004749666794659595,0.006681352537780521,0.9680214063062339,0.016892980856448293,1,translating,5360,24000,1
103,1962.099669,1.183302,-0.159811,-0.000244,0.030525,1.194395,-0.167671,-0.000257,0.032759,0.03471600503427674,0.011411700550365,-0.013136238761615137,0.008601060601999064,0.9672872868425075,0.014868042274682993,1,translating,5374,24000,1
104,1962.199496,1.218706,-0.160460,-0.000123,0.042016,1.214209,-0.155542,-0.000048,0.044795,0.03816307025049315,-0.0025467422226675973,-0.007864509095659725,0.01132171423425669,0.9640074757351064,0.003544676169256683,1,translating,5384,24000,1
105,1962.299327,1.254059,-0.173941,-0.000210,0.046231,1.259710,-0.163023,-0.000491,0.052785,0.03721611302964001,-0.01648691173628694,-0.007449450067249782,0.004047587336968175,0.9724898470047273,0.010878781438283712,1,translating,5398,24000,1
106,1962.399970,1.291646,-0.179499,0.000037,0.052353,1.291956,-0.184009,0.000107,0.050020,0.03945564480705066,-0.006851609774021522,-0.005722261748339235,0.006086257490196612,0.970978008759711,0.004227514164705226,1,translating,5415,24000,1
107,1962.499799,1.328261,-0.183777,-0.000171,0.061270,1.310100,-0.185172,-0.000112,0.057680,0.041417316343004495,-0.007387860064773544,-0.011066303209479262,0.008897036862048806,0.9678179398588765,0.014504135777601311,1,translating,5441,24000,1
108,1962.599630,1.367291,-0.180150,-0.000364,0.062179,1.392706,-0.191293,-0.000968,0.067790,0.04260517884462156,0.0033478242887932663,-0.011385446799061305,0.000479190455595977,0.9704685506026217,0.015531764597616524,1,translating,5476,24000,1
109,1962.699467,1.403616,-0.179967,0.000051,0.066033,1.403867,-0.174547,0.000068,0.064181,0.035614137552967495,-0.0024577203301058836,0.0019602874123349073,0.003921178084131681,0.974393099398536,0.0009344190971445558,1,translating,5527,24000,1
110,1962.799303,1.441445,-0.179720,-0.000051,0.067989,1.438927,-0.184163,-0.000042,0.068663,0.039749468666786525,-0.0018514227421117524,-0.004928303779005631,0.0017823403953348392,0.9652809052219211,0.0010723018834135102,1,translating,5610,24000,1
111,1962.899944,1.476668,-0.173599,0.000068,0.061878,1.461777,-0.178064,0.000069,0.062456,0.036024088468445514,0.0052529022940712156,0.0020952683704767473,-0.006139532636809686,0.9437083064486883,0.004355802670648642,1,translating,5654,24000,1
112,1962.999788,1.510446,-0.170834,-0.000019,0.065224,1.501219,-0.170812,0.000084,0.061471,0.03814845725197258,-0.0002458471545616625,-0.0069413620043121,0.0035482234801179203,0.9722314841876893,0.009193103935323327,1,translating,5689,24000,1
113,1963.099639,1.553909,-0.157077,0.000194,0.063492,1.582239,-0.168503,0.000519,0.074926,0.039414269952533054,0.015193747843248784,0.009243751943440444,-0.0022108970075163372,0.9671420646857741,0.02433278275373503,1,translating,5722,24000,1
114,1963.199484,1.588357,-0.155485,0.000213,0.061109,1.596574,-0.142701,0.000993,0.054335,0.035804451604096954,-0.0036565869323647027,-0.004446315941420221,-0.002181825486052589,0.9711098317932803,0.005937898602749437,1,translating,5761,24000,1
115,1963.299328,1.628583,-0.153158,0.000012,0.062165,1.619695,-0.152895,0.000419,0.061149,0.04383168746824739,-0.0006629087784187915,-0.008405595832278415,0.0010876522879078238,0.9684758118222169,0.0032658450334355385,1,translating,5780,24000,1
116,1963.399967,1.671665,-0.161891,-0.000192,0.059667,1.690262,-0.157795,-0.000181,0.058857,0.04797046785166725,-0.013203653152370265,-0.015798118113043543,-0.0027645905398800148,0.9663247755285769,0.012042480372369846,1,translating,5811,24000,1
117,1963.499817,1.712103,-0.156160,-0.000014,0.058556,1.687675,-0.164651,-0.000005,0.055511,0.04628328000504589,0.006153941399884899,-0.005781203658525973,-0.0008585646547455668,0.9666872688684863,0.02120562009835792,1,translating,5835,24000,1
118,1963.599668,1.757997,-0.147901,-0.000017,0.058083,1.778567,-0.159212,0.000133,0.062071,0.045863122078222185,0.0068775817838605535,-0.0016573809082446713,-0.0008177386890974803,0.9641853242544618,0.009626517097575851,1,translating,5869,24000,1
119,1963.699516,1.802718,-0.134872,0.000070,0.057084,1.798894,-0.139652,0.000361,0.054038,0.04578882178290544,0.011160122930593791,-0.00020722064959924954,-0.0009175772305292662,0.9660585586814155,0.0019646322676611866,1,translating,5900,24000,1
