scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1952.399498,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,2818,24000,0
1,1952.499356,-0.000002,0.000001,0.000002,0.000051,-0.000002,0.000001,0.000002,0.000051,nan,nan,nan,nan,nan,nan,-1,stationary,3273,24000,0
2,1952.599997,-0.000001,0.000002,0.000001,0.000026,-0.000001,0.000002,0.000001,0.000026,nan,nan,nan,nan,nan,nan,-1,stationary,3405,24000,0
3,1952.699828,0.000001,0.000007,0.000003,0.000009,0.000001,0.000007,0.000003,0.000009,nan,nan,nan,nan,nan,nan,-1,stationary,3498,24000,0
4,1952.799667,0.000001,0.000013,0.000003,0.000005,0.000001,0.000013,0.000003,0.000005,nan,nan,nan,nan,nan,nan,-1,stationary,3568,24000,0
5,1952.899509,-0.000000,0.000014,0.000002,0.000044,-0.000000,0.000014,0.000002,0.000044,nan,nan,nan,nan,nan,nan,-1,stationary,3654,24000,0
6,1952.999356,-0.000000,0.000012,0.000002,0.000036,-0.000000,0.000012,0.000002,0.000036,nan,nan,nan,nan,nan,nan,-1,stationary,3732,24000,0
7,1953.099604,-0.000000,0.000011,-0.000000,0.000052,-0.000000,0.000011,-0.000000,0.000052,nan,nan,nan,nan,nan,nan,-1,stationary,3782,24000,0
8,1953.199446,0.000004,0.000010,-0.000003,0.000011,0.000004,0.000010,-0.000003,0.000011,nan,nan,nan,nan,nan,nan,-1,stationary,3809,24000,0
9,1953.299291,-0.000002,0.000014,-0.000002,-0.000154,-0.000002,0.000014,-0.000002,-0.000154,nan,nan,nan,nan,nan,nan,-1,stationary,3827,24000,0
10,1953.399912,0.000017,0.000006,-0.000005,-0.000290,0.000017,0.000006,-0.000005,-0.000290,nan,nan,nan,nan,nan,nan,-1,stationary,3854,24000,0
11,1953.499759,-0.000007,-0.000009,0.000001,-0.000008,-0.000007,-0.000009,0.000001,-0.000008,nan,nan,nan,nan,nan,nan,-1,stationary,3868,24000,0
12,1953.599598,-0.000003,0.000006,-0.000002,-0.000146,-0.000003,0.000006,-0.000002,-0.000146,nan,nan,nan,nan,nan,nan,-1,stationary,3882,24000,0
13,1953.699431,0.000006,0.000002,-0.000003,-0.000001,0.000006,0.000002,-0.000003,-0.000001,nan,nan,nan,nan,nan,nan,-1,stationary,3896,24000,0
14,1953.799668,-0.000003,-0.000010,-0.000002,0.000021,-0.000003,-0.000010,-0.000002,0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,3906,24000,0
15,1953.899504,0.000007,-0.000003,-0.000005,-0.000073,0.000007,-0.000003,-0.000005,-0.000073,nan,nan,nan,nan,nan,nan,-1,stationary,3915,24000,0
16,1953.999350,0.000009,-0.000010,0.000000,-0.000045,0.000009,-0.000010,0.000000,-0.000045,nan,nan,nan,nan,nan,nan,-1,stationary,3929,24000,0
17,1954.099600,-0.000014,-0.000013,0.000033,-0.000072,-0.000014,-0.000013,0.000033,-0.000072,nan,nan,nan,nan,nan,nan,-1,stationary,3956,24000,0
18,1954.199424,-0.000012,-0.000014,0.000019,-0.000028,-0.000012,-0.000014,0.000019,-0.000028,nan,nan,nan,nan,nan,nan,-1,stationary,4006,24000,0
19,1954.299665,-0.000023,-0.000012,0.000014,0.000040,-0.000023,-0.000012,0.000014,0.000040,nan,nan,nan,nan,nan,nan,-1,stationary,4052,24000,0
20,1954.399500,-0.000009,-0.000025,0.000008,0.000135,-0.000009,-0.000025,0.000008,0.000135,nan,nan,nan,nan,nan,nan,-1,stationary,3901,24000,0
21,1954.499329,-0.000015,-0.000032,0.000007,0.000163,-0.000015,-0.000032,0.000007,0.000163,nan,nan,nan,nan,nan,nan,-1,stationary,3914,24000,0
22,1954.599970,-0.000016,-0.000032,0.000007,0.000169,-0.000016,-0.000032,0.000007,0.000169,nan,nan,nan,nan,nan,nan,-1,stationary,3926,24000,0
23,1954.699816,-0.000015,-0.000040,0.000012,0.000222,-0.000015,-0.000040,0.000012,0.000222,nan,nan,nan,nan,nan,nan,-1,stationary,3932,24000,0
24,1954.799654,-0.000018,-0.000043,0.000010,0.000308,-0.000018,-0.000043,0.000010,0.000308,nan,nan,nan,nan,nan,nan,-1,stationary,3943,24000,0
25,1954.899494,-0.000012,-0.000045,0.000003,0.000386,-0.000012,-0.000045,0.000003,0.000386,nan,nan,nan,nan,nan,nan,-1,stationary,3950,24000,0
26,1954.999337,-0.000019,-0.000051,0.000002,0.000463,-0.000019,-0.000051,0.000002,0.000463,nan,nan,nan,nan,nan,nan,-1,stationary,3960,24000,0
27,1955.099979,-0.000017,-0.000053,0.000002,0.000472,-0.000017,-0.000053,0.000002,0.000472,nan,nan,nan,nan,nan,nan,-1,stationary,3970,24000,0
28,1955.199829,-0.000019,-0.000055,-0.000001,0.000564,-0.000019,-0.000055,-0.000001,0.000564,nan,nan,nan,nan,nan,nan,-1,stationary,3979,24000,0
29,1955.299679,-0.000007,-0.000060,0.000003,0.000383,-0.000007,-0.000060,0.000003,0.000383,nan,nan,nan,nan,nan,nan,-1,stationary,4001,24000,0
30,1955.399515,-0.000010,-0.000078,0.000003,0.000750,-0.000010,-0.000078,0.000003,0.000750,nan,nan,nan,nan,nan,nan,-1,stationary,4061,24000,0
31,1955.499358,-0.000039,-0.000064,0.000003,0.000580,-0.000039,-0.000064,0.000003,0.000580,nan,nan,nan,nan,nan,nan,-1,stationary,4110,24000,0
32,1955.599600,-0.000058,-0.000083,0.000008,0.000776,-0.000058,-0.000083,0.000008,0.000776,nan,nan,nan,nan,nan,nan,-1,stationary,4140,24000,0
33,1955.699435,-0.000017,-0.000081,0.000004,0.000904,-0.000017,-0.000081,0.000004,0.000904,nan,nan,nan,nan,nan,nan,-1,stationary,4144,24000,0
34,1955.799669,-0.000076,-0.000078,-0.000001,0.000879,-0.000076,-0.000078,-0.000001,0.000879,nan,nan,nan,nan,nan,nan,-1,stationary,4144,24000,0
35,1955.899516,-0.000100,-0.000083,0.000003,0.000888,-0.000100,-0.000083,0.000003,0.000888,nan,nan,nan,nan,nan,nan,-1,stationary,4173,24000,0
36,1955.999354,-0.000057,-0.000052,0.000001,0.000635,-0.000057,-0.000052,0.000001,0.000635,nan,nan,nan,nan,nan,nan,-1,stationary,4181,24000,0
37,1956.099994,-0.000067,-0.000091,0.000000,0.000904,-0.000067,-0.000091,0.000000,0.000904,nan,nan,nan,nan,nan,nan,-1,stationary,4192,24000,0
38,1956.199832,-0.000061,-0.000095,-0.000001,0.000840,-0.000061,-0.000095,-0.000001,0.000840,nan,nan,nan,nan,nan,nan,-1,stationary,4203,24000,0
39,1956.299680,-0.000049,-0.000077,-0.000002,0.000844,-0.000049,-0.000077,-0.000002,0.000844,nan,nan,nan,nan,nan,nan,-1,stationary,4211,24000,0
40,1956.399509,-0.000063,-0.000085,0.000003,0.000928,-0.000063,-0.000085,0.000003,0.000928,nan,nan,nan,nan,nan,nan,-1,stationary,4116,24000,0
41,1956.499352,-0.000035,-0.000084,-0.000002,0.000724,-0.000035,-0.000084,-0.000002,0.000724,nan,nan,nan,nan,nan,nan,-1,stationary,4138,24000,0
42,1956.599978,-0.000054,-0.000068,-0.000001,0.001200,-0.000054,-0.000068,-0.000001,0.001200,nan,nan,nan,nan,nan,nan,-1,stationary,4186,24000,0
43,1956.699822,-0.000022,-0.000064,-0.000000,0.000746,-0.000022,-0.000064,-0.000000,0.000746,nan,nan,nan,nan,nan,nan,-1,stationary,4239,24000,0
44,1956.799662,-0.000037,-0.000080,-0.000006,0.001250,-0.000037,-0.000080,-0.000006,0.001250,nan,nan,nan,nan,nan,nan,-1,stationary,4272,24000,0
45,1956.899516,0.000094,-0.000112,-0.000041,0.000530,0.000094,-0.000112,-0.000041,0.000530,nan,nan,nan,nan,nan,nan,-1,stationary,4274,24000,0
46,1956.999363,-0.000015,-0.000070,-0.000006,0.001931,-0.000015,-0.000070,-0.000006,0.001931,nan,nan,nan,nan,nan,nan,-1,stationary,4279,24000,0
47,1957.099993,-0.000008,-0.000080,-0.000003,0.003399,-0.000008,-0.000080,-0.000003,0.003399,nan,nan,nan,nan,nan,nan,-1,stationary,4281,24000,0
48,1957.199826,-0.000296,0.000055,0.000009,0.004210,-0.000296,0.000055,0.000009,0.004210,nan,nan,nan,nan,nan,nan,-1,stationary,4291,24000,0
49,1957.299666,0.002683,-0.002682,-0.000918,0.003494,0.000035,-0.000039,0.000002,0.005287,0.0033801118712001657,-0.0009630777905569359,-0.0020447157228457627,-0.00013828039916186576,0.9784803416492697,0.0012945254271915043,1,mild,4295,24000,1
50,1957.399503,0.003090,-0.003463,-0.000631,0.002268,0.003090,-0.003463,-0.000631,0.002268,nan,nan,nan,nan,nan,nan,-1,stationary,4398,24000,0
51,1957.499354,0.002992,-0.003560,-0.000146,0.005791,0.002992,-0.003560,-0.000146,0.005791,nan,nan,nan,nan,nan,nan,-1,stationary,4418,24000,0
52,1957.599610,0.003070,-0.003572,0.000000,0.005677,0.003070,-0.003572,0.000000,0.005677,nan,nan,nan,nan,nan,nan,-1,stationary,4424,24000,0
53,1957.699452,0.003190,-0.003494,0.000008,0.006914,0.003190,-0.003494,0.000008,0.006914,nan,nan,nan,nan,nan,nan,-1,stationary,4509,24000,0
54,1957.799301,0.017918,-0.008377,-0.007320,0.017096,0.004684,-0.002653,-0.000008,0.014696,0.0138464397890184,-0.007031166282813233,-0.003563753884148086,0.010587285382768874,0.9747923140049735,0.007470708302055052,1,mild,4587,24000,1
55,1957.899948,0.029994,-0.004493,-0.007957,0.027756,0.048110,-0.015148,-0.031835,0.027458,0.007927993504580535,-0.0020379907591128576,-0.0005553897647568723,0.011841230411677589,0.9708319103615545,0.05386871603045606,1,mild,4664,24000,1
56,1957.999785,0.037132,-0.000737,-0.007296,0.033265,0.030430,-0.004283,-0.007240,0.028219,0.012115796424873464,0.0033668833215642646,0.0003063641920263505,0.0053546172100462225,0.9468338430193555,0.2038623548081182,1,mild,4708,24000,1
57,1958.099626,0.048812,-0.000906,-0.004862,0.029653,0.038441,-0.000358,-0.006604,0.033711,0.02029183326080535,0.0025497836133350537,-0.004718420465959208,-0.004726027194881232,0.49034334413357616,0.34085555189899824,1,mild,4721,24000,1
58,1958.199467,0.067857,-0.002040,-0.002732,0.018235,0.058417,-0.001209,-0.002221,0.030109,0.02040756868929864,-0.002591363739707725,0.00039457011896351906,-0.01281908883152144,0.9693688276787483,0.42654139152282755,1,mild,4741,24000,1
59,1958.299321,0.082509,-0.007834,-0.001234,0.008410,0.083997,-0.002986,-0.000036,0.018689,0.015475798329178586,-0.01126269665464751,-0.0002668102198905664,-0.008373159976710435,0.971064663710332,0.28164412865508726,1,mild,4753,24000,1
60,1958.399966,0.105641,-0.016658,0.000016,-0.005188,0.098009,-0.011419,0.000645,0.008879,0.023860835023066573,-0.013168066070411117,0.0024067754849680413,-0.013168643458179868,0.9689098098751837,0.4997196467309221,1,mild,4626,24000,1
61,1958.499797,0.132161,-0.023325,-0.006855,-0.022191,0.126164,-0.023092,0.001708,-0.004729,0.02896185135882752,-0.012532660130524627,-0.008671351206321173,-0.017305560581102993,0.9638944782474288,0.6129015374396787,1,mild,4692,24000,1
