scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,2786,24000,0
1,1951.899477,-0.000000,-0.000001,0.000001,-0.000031,-0.000000,-0.000001,0.000001,-0.000031,nan,nan,nan,nan,nan,nan,-1,stationary,3283,24000,0
2,1951.999327,-0.000001,-0.000001,0.000001,-0.000066,-0.000001,-0.000001,0.000001,-0.000066,nan,nan,nan,nan,nan,nan,-1,stationary,3426,24000,0
3,1952.099978,-0.000000,-0.000002,0.000002,-0.000051,-0.000000,-0.000002,0.000002,-0.000051,nan,nan,nan,nan,nan,nan,-1,stationary,3509,24000,0
4,1952.199821,-0.000004,-0.000009,0.000001,-0.000061,-0.000004,-0.000009,0.000001,-0.000061,nan,nan,nan,nan,nan,nan,-1,stationary,3566,24000,0
5,1952.299657,-0.000004,-0.000012,0.000003,-0.000029,-0.000004,-0.000012,0.000003,-0.000029,nan,nan,nan,nan,nan,nan,-1,stationary,3611,24000,0
6,1952.399498,-0.000004,-0.000010,0.000004,0.000010,-0.000004,-0.000010,0.000004,0.000010,nan,nan,nan,nan,nan,nan,-1,stationary,3656,24000,0
7,1952.499356,-0.000005,-0.000009,0.000005,0.000022,-0.000005,-0.000009,0.000005,0.000022,nan,nan,nan,nan,nan,nan,-1,stationary,3689,24000,0
8,1952.599997,-0.000002,-0.000009,0.000003,-0.000043,-0.000002,-0.000009,0.000003,-0.000043,nan,nan,nan,nan,nan,nan,-1,stationary,3728,24000,0
9,1952.699828,-0.000003,-0.000007,0.000006,-0.000068,-0.000003,-0.000007,0.000006,-0.000068,nan,nan,nan,nan,nan,nan,-1,stationary,3752,24000,0
10,1952.799667,-0.000004,-0.000006,0.000006,-0.000041,-0.000004,-0.000006,0.000006,-0.000041,nan,nan,nan,nan,nan,nan,-1,stationary,3783,24000,0
11,1952.899509,-0.000004,-0.000006,0.000004,-0.000021,-0.000004,-0.000006,0.000004,-0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,3833,24000,0
12,1952.999356,-0.000005,-0.000008,0.000004,-0.000033,-0.000005,-0.000008,0.000004,-0.000033,nan,nan,nan,nan,nan,nan,-1,stationary,3883,24000,0
13,1953.099604,-0.000006,-0.000008,0.000004,-0.000021,-0.000006,-0.000008,0.000004,-0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,3917,24000,0
14,1953.199446,-0.000005,-0.000008,0.000003,-0.000146,-0.000005,-0.000008,0.000003,-0.000146,nan,nan,nan,nan,nan,nan,-1,stationary,3941,24000,0
15,1953.299291,-0.000007,-0.000005,0.000004,-0.000373,-0.000007,-0.000005,0.000004,-0.000373,nan,nan,nan,nan,nan,nan,-1,stationary,3953,24000,0
16,1953.399912,-0.000007,-0.000017,0.000006,-0.000155,-0.000007,-0.000017,0.000006,-0.000155,nan,nan,nan,nan,nan,nan,-1,stationary,3965,24000,0
17,1953.499759,-0.000015,-0.000014,0.000005,-0.000261,-0.000015,-0.000014,0.000005,-0.000261,nan,nan,nan,nan,nan,nan,-1,stationary,3974,24000,0
18,1953.599598,0.000001,-0.000001,0.000004,-0.000293,0.000001,-0.000001,0.000004,-0.000293,nan,nan,nan,nan,nan,nan,-1,stationary,3983,24000,0
19,1953.699431,0.000008,-0.000006,0.000003,-0.000163,0.000008,-0.000006,0.000003,-0.000163,nan,nan,nan,nan,nan,nan,-1,stationary,3988,24000,0
20,1953.799668,0.000002,-0.000013,0.000005,-0.000265,0.000002,-0.000013,0.000005,-0.000265,nan,nan,nan,nan,nan,nan,-1,stationary,3886,24000,0
21,1953.899504,0.000003,-0.000011,0.000004,-0.000260,0.000003,-0.000011,0.000004,-0.000260,nan,nan,nan,nan,nan,nan,-1,stationary,3895,24000,0
22,1953.999350,0.000000,-0.000022,0.000009,-0.000251,0.000000,-0.000022,0.000009,-0.000251,nan,nan,nan,nan,nan,nan,-1,stationary,3909,24000,0
23,1954.099600,-0.000025,-0.000026,0.000040,-0.000293,-0.000025,-0.000026,0.000040,-0.000293,nan,nan,nan,nan,nan,nan,-1,stationary,3932,24000,0
