stamp,x,y,z,method,accum,voxel_d,proc_ms
1739296821.174628,0.00625,-0.00813,-0.01680,p2p[d=0.06],1,0.065,0.00
1739296821.293997,0.00398,-0.00436,-0.02054,p2p[d=0.03],1,0.030,24.54
1739296821.409245,0.00085,-0.00430,-0.01319,p2p[d=0.03],1,0.030,27.19
1739296821.529319,-0.00178,0.00268,-0.01788,p2p[d=0.03],1,0.030,33.04
1739296821.660577,0.00327,0.00235,-0.01336,p2p[d=0.03],1,0.030,15.29
1739296821.775168,0.00280,-0.00391,-0.02109,p2p[d=0.03],1,0.030,37.78
1739296821.897855,-0.00831,-0.00512,-0.01785,p2p[d=0.03],1,0.030,16.48
1739296822.019490,-0.00380,-0.00603,-0.00379,p2p[d=0.03],1,0.030,23.66
1739296822.138755,-0.00234,-0.00854,-0.01471,p2p[d=0.03],1,0.030,14.47
1739296822.257786,-0.00108,-0.00990,-0.01548,p2p[d=0.03],1,0.030,23.12
1739296822.369322,0.00334,-0.01407,-0.01395,p2p[d=0.03],1,0.030,17.79
1739296822.494292,0.00287,-0.00627,-0.01964,p2p[d=0.03],1,0.030,24.31
1739296822.614476,0.00148,-0.00967,-0.02000,p2p[d=0.03],1,0.030,28.77
1739296822.747367,-0.00839,-0.00531,-0.00758,p2p[d=0.03],1,0.030,15.69
1739296822.866937,-0.00867,-0.00319,-0.00804,p2p[d=0.03],1,0.030,37.08
1739296822.995087,-0.00570,0.00245,-0.01183,p2p[d=0.03],1,0.030,16.23
1739296823.113652,-0.00794,-0.00529,-0.00942,p2p[d=0.03],1,0.030,31.45
1739296823.232925,-0.01142,-0.00861,-0.00863,p2p[d=0.03],1,0.030,22.81
1739296823.339455,-0.00481,-0.01034,-0.00563,p2p[d=0.03],1,0.030,28.34
1739296823.459465,-0.01245,-0.00388,-0.01556,p2p[d=0.03],1,0.030,27.32
1739296823.576340,-0.01000,-0.00294,-0.01103,p2p[d=0.03],1,0.030,15.32
1739296823.695751,-0.00976,-0.00294,-0.01587,p2p[d=0.03],1,0.030,15.28
1739296823.825412,-0.01478,-0.00028,-0.01334,p2p[d=0.03],1,0.030,21.16
1739296823.936471,-0.01574,0.00077,-0.01279,p2p[d=0.03],1,0.030,19.08
1739296824.046844,-0.01579,-0.00054,-0.01264,p2p[d=0.03],1,0.030,44.72
1739296824.165761,-0.01658,-0.00462,-0.01125,p2p[d=0.03],1,0.030,16.31
1739296824.280411,-0.00264,-0.01314,-0.01472,p2p[d=0.03],1,0.030,15.86
1739296824.388390,-0.00675,-0.00900,-0.01012,p2p[d=0.03],1,0.030,30.62
1739296824.513469,-0.00689,-0.01316,-0.01187,p2p[d=0.03],1,0.030,29.75
1739296824.636736,-0.00922,-0.01080,-0.01179,p2p[d=0.03],1,0.030,21.29
1739296824.760878,-0.01184,-0.00715,-0.01149,p2p[d=0.03],1,0.030,31.53
1739296824.885372,-0.01550,-0.00228,-0.01311,p2p[d=0.03],1,0.030,15.95
1739296825.003673,-0.01126,-0.00150,-0.01880,p2p[d=0.03],1,0.030,25.19
1739296825.117651,-0.00795,0.00134,-0.01112,p2p[d=0.03],1,0.030,16.56
1739296825.231214,-0.01043,0.00635,-0.00896,p2p[d=0.03],1,0.030,16.67
1739296825.353007,-0.01504,0.00077,-0.00308,p2p[d=0.03],1,0.030,25.50
1739296825.464333,-0.01445,-0.00219,-0.00536,p2p[d=0.03],1,0.030,39.51
1739296825.590161,-0.01399,-0.01060,-0.00650,p2p[d=0.03],1,0.030,15.97
1739296825.718297,-0.01265,-0.01763,-0.00741,p2p[d=0.03],1,0.030,24.81
1739296825.830442,-0.00933,-0.01691,-0.00487,p2p[d=0.03],1,0.030,19.59
