scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.699814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,6010,24000,0
1,1951.799651,0.000000,-0.000001,0.000001,0.000016,0.000000,-0.000001,0.000001,0.000016,nan,nan,nan,nan,nan,nan,-1,stationary,7800,24000,0
2,1951.899477,-0.000001,-0.000001,0.000002,-0.000028,-0.000001,-0.000001,0.000002,-0.000028,nan,nan,nan,nan,nan,nan,-1,stationary,8560,24000,0
3,1951.999327,0.000000,-0.000001,0.000001,-0.000076,0.000000,-0.000001,0.000001,-0.000076,nan,nan,nan,nan,nan,nan,-1,stationary,8932,24000,0
4,1952.099978,-0.000002,-0.000003,0.000002,-0.000054,-0.000002,-0.000003,0.000002,-0.000054,nan,nan,nan,nan,nan,nan,-1,stationary,9152,24000,0
5,1952.199821,-0.000002,-0.000003,0.000004,-0.000055,-0.000002,-0.000003,0.000004,-0.000055,nan,nan,nan,nan,nan,nan,-1,stationary,9332,24000,0
6,1952.299657,0.000000,-0.000001,0.000006,0.000027,0.000000,-0.000001,0.000006,0.000027,nan,nan,nan,nan,nan,nan,-1,stationary,9491,24000,0
7,1952.399498,-0.000000,-0.000001,0.000005,0.000033,-0.000000,-0.000001,0.000005,0.000033,nan,nan,nan,nan,nan,nan,-1,stationary,9622,24000,0
8,1952.499356,0.000000,0.000000,0.000005,0.000021,0.000000,0.000000,0.000005,0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,9716,24000,0
9,1952.599997,0.000001,0.000000,0.000005,-0.000037,0.000001,0.000000,0.000005,-0.000037,nan,nan,nan,nan,nan,nan,-1,stationary,9787,24000,0
