scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1952.099978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,943,24000,0
1,1952.199821,-0.000003,-0.000006,-0.000001,-0.000012,-0.000003,-0.000006,-0.000001,-0.000012,nan,nan,nan,nan,nan,nan,-1,stationary,1011,24000,0
2,1952.299657,-0.000005,-0.000012,0.000004,0.000013,-0.000005,-0.000012,0.000004,0.000013,nan,nan,nan,nan,nan,nan,-1,stationary,1028,24000,0
3,1952.399498,-0.000005,-0.000015,0.000002,0.000131,-0.000005,-0.000015,0.000002,0.000131,nan,nan,nan,nan,nan,nan,-1,stationary,1036,24000,0
4,1952.499356,-0.000008,-0.000016,0.000003,0.000172,-0.000008,-0.000016,0.000003,0.000172,nan,nan,nan,nan,nan,nan,-1,stationary,1044,24000,0
5,1952.599997,-0.000008,-0.000016,0.000003,0.000124,-0.000008,-0.000016,0.000003,0.000124,nan,nan,nan,nan,nan,nan,-1,stationary,1050,24000,0
6,1952.699828,-0.000006,-0.000012,0.000007,0.000105,-0.000006,-0.000012,0.000007,0.000105,nan,nan,nan,nan,nan,nan,-1,stationary,1055,24000,0
7,1952.799667,-0.000009,-0.000007,0.000009,0.000088,-0.000009,-0.000007,0.000009,0.000088,nan,nan,nan,nan,nan,nan,-1,stationary,1070,24000,0
8,1952.899509,-0.000015,-0.000011,0.000011,0.000107,-0.000015,-0.000011,0.000011,0.000107,nan,nan,nan,nan,nan,nan,-1,stationary,1109,24000,0
9,1952.999356,-0.000019,-0.000016,0.000012,0.000101,-0.000019,-0.000016,0.000012,0.000101,nan,nan,nan,nan,nan,nan,-1,stationary,1154,24000,0
10,1953.099604,-0.000020,-0.000020,0.000011,0.000104,-0.000020,-0.000020,0.000011,0.000104,nan,nan,nan,nan,nan,nan,-1,stationary,1181,24000,0
11,1953.199446,-0.000018,-0.000022,0.000008,0.000049,-0.000018,-0.000022,0.000008,0.000049,nan,nan,nan,nan,nan,nan,-1,stationary,1191,24000,0
12,1953.299291,-0.000026,-0.000021,0.000009,-0.000130,-0.000026,-0.000021,0.000009,-0.000130,nan,nan,nan,nan,nan,nan,-1,stationary,1195,24000,0
13,1953.399912,-0.000009,-0.000030,0.000006,-0.000279,-0.000009,-0.000030,0.000006,-0.000279,nan,nan,nan,nan,nan,nan,-1,stationary,1200,24000,0
14,1953.499759,-0.000035,-0.000047,0.000013,-0.000011,-0.000035,-0.000047,0.000013,-0.000011,nan,nan,nan,nan,nan,nan,-1,stationary,1205,24000,0
15,1953.599598,-0.000044,-0.000042,0.000012,-0.000148,-0.000044,-0.000042,0.000012,-0.000148,nan,nan,nan,nan,nan,nan,-1,stationary,1208,24000,0
16,1953.699431,-0.000045,-0.000053,0.000011,-0.000013,-0.000045,-0.000053,0.000011,-0.000013,nan,nan,nan,nan,nan,nan,-1,stationary,1209,24000,0
17,1953.799668,-0.000054,-0.000066,0.000012,-0.000004,-0.000054,-0.000066,0.000012,-0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,1211,24000,0
18,1953.899504,-0.000045,-0.000060,0.000010,-0.000111,-0.000045,-0.000060,0.000010,-0.000111,nan,nan,nan,nan,nan,nan,-1,stationary,1213,24000,0
19,1953.999350,-0.000044,-0.000069,0.000014,-0.000096,-0.000044,-0.000069,0.000014,-0.000096,nan,nan,nan,nan,nan,nan,-1,stationary,1219,24000,0
20,1954.099600,-0.000068,-0.000072,0.000048,-0.000137,-0.000068,-0.000072,0.000048,-0.000137,nan,nan,nan,nan,nan,nan,-1,stationary,1130,24000,0
21,1954.199424,-0.000066,-0.000074,0.000047,-0.000107,-0.000066,-0.000074,0.000047,-0.000107,nan,nan,nan,nan,nan,nan,-1,stationary,1168,24000,0
22,1954.299665,-0.000078,-0.000073,0.000046,-0.000052,-0.000078,-0.000073,0.000046,-0.000052,nan,nan,nan,nan,nan,nan,-1,stationary,1203,24000,0
23,1954.399500,-0.000069,-0.000079,0.000042,-0.000017,-0.000069,-0.000079,0.000042,-0.000017,nan,nan,nan,nan,nan,nan,-1,stationary,1213,24000,0
24,1954.499329,-0.000079,-0.000082,0.000043,0.000033,-0.000079,-0.000082,0.000043,0.000033,nan,nan,nan,nan,nan,nan,-1,stationary,1213,24000,0
25,1954.599970,-0.000080,-0.000083,0.000046,0.000026,-0.000080,-0.000083,0.000046,0.000026,nan,nan,nan,nan,nan,nan,-1,stationary,1215,24000,0
26,1954.699816,-0.000075,-0.000089,0.000047,0.000069,-0.000075,-0.000089,0.000047,0.000069,nan,nan,nan,nan,nan,nan,-1,stationary,1216,24000,0
27,1954.799654,-0.000077,-0.000089,0.000048,0.000133,-0.000077,-0.000089,0.000048,0.000133,nan,nan,nan,nan,nan,nan,-1,stationary,1218,24000,0
28,1954.899494,-0.000072,-0.000093,0.000044,0.000198,-0.000072,-0.000093,0.000044,0.000198,nan,nan,nan,nan,nan,nan,-1,stationary,1218,24000,0
29,1954.999337,-0.000079,-0.000100,0.000043,0.000260,-0.000079,-0.000100,0.000043,0.000260,nan,nan,nan,nan,nan,nan,-1,stationary,1218,24000,0
30,1955.099979,-0.000077,-0.000102,0.000043,0.000256,-0.000077,-0.000102,0.000043,0.000256,nan,nan,nan,nan,nan,nan,-1,stationary,1219,24000,0
31,1955.199829,-0.000080,-0.000105,0.000041,0.000337,-0.000080,-0.000105,0.000041,0.000337,nan,nan,nan,nan,nan,nan,-1,stationary,1221,24000,0
32,1955.299679,-0.000069,-0.000110,0.000044,0.000143,-0.000069,-0.000110,0.000044,0.000143,nan,nan,nan,nan,nan,nan,-1,stationary,1241,24000,0
33,1955.399515,-0.000074,-0.000129,0.000045,0.000497,-0.000074,-0.000129,0.000045,0.000497,nan,nan,nan,nan,nan,nan,-1,stationary,1290,24000,0
34,1955.499358,-0.000080,-0.000127,0.000045,0.000431,-0.000080,-0.000127,0.000045,0.000431,nan,nan,nan,nan,nan,nan,-1,stationary,1336,24000,0
35,1955.599600,-0.000084,-0.000149,0.000051,0.000397,-0.000084,-0.000149,0.000051,0.000397,nan,nan,nan,nan,nan,nan,-1,stationary,1354,24000,0
36,1955.699435,-0.000021,-0.000138,0.000049,0.000482,-0.000021,-0.000138,0.000049,0.000482,nan,nan,nan,nan,nan,nan,-1,stationary,1355,24000,0
37,1955.799669,-0.000074,-0.000131,0.000043,0.000673,-0.000074,-0.000131,0.000043,0.000673,nan,nan,nan,nan,nan,nan,-1,stationary,1355,24000,0
38,1955.899516,-0.000100,-0.000137,0.000047,0.000667,-0.000100,-0.000137,0.000047,0.000667,nan,nan,nan,nan,nan,nan,-1,stationary,1356,24000,0
39,1955.999354,-0.000060,-0.000108,0.000047,0.000401,-0.000060,-0.000108,0.000047,0.000401,nan,nan,nan,nan,nan,nan,-1,stationary,1356,24000,0
40,1956.099994,-0.000075,-0.000149,0.000047,0.000657,-0.000075,-0.000149,0.000047,0.000657,nan,nan,nan,nan,nan,nan,-1,stationary,1195,24000,0
41,1956.199832,-0.000072,-0.000153,0.000045,0.000579,-0.000072,-0.000153,0.000045,0.000579,nan,nan,nan,nan,nan,nan,-1,stationary,1195,24000,0
42,1956.299680,-0.000061,-0.000140,0.000043,0.000511,-0.000061,-0.000140,0.000043,0.000511,nan,nan,nan,nan,nan,nan,-1,stationary,1196,24000,0
43,1956.399509,-0.000061,-0.000143,0.000042,0.000534,-0.000061,-0.000143,0.000042,0.000534,nan,nan,nan,nan,nan,nan,-1,stationary,1198,24000,0
44,1956.499352,-0.000094,-0.000465,0.000197,0.000722,-0.000094,-0.000465,0.000197,0.000722,nan,nan,nan,nan,nan,nan,-1,stationary,1218,24000,0
45,1956.599978,-0.000093,-0.000457,0.000211,0.000723,-0.000093,-0.000457,0.000211,0.000723,nan,nan,nan,nan,nan,nan,-1,stationary,1263,24000,0
46,1956.699822,-0.000093,-0.000457,0.000211,0.000730,-0.000093,-0.000457,0.000211,0.000730,nan,nan,nan,nan,nan,nan,-1,stationary,1314,24000,0
47,1956.799662,-0.000105,-0.000452,0.000187,0.001112,-0.000105,-0.000452,0.000187,0.001112,nan,nan,nan,nan,nan,nan,-1,stationary,1344,24000,0
48,1956.899516,0.000022,-0.000471,0.000145,0.000377,0.000022,-0.000471,0.000145,0.000377,nan,nan,nan,nan,nan,nan,-1,stationary,1345,24000,0
49,1956.999363,-0.000086,-0.000427,0.000123,0.001766,-0.000086,-0.000427,0.000123,0.001766,nan,nan,nan,nan,nan,nan,-1,stationary,1346,24000,0
50,1957.099993,-0.000081,-0.000432,0.000099,0.003197,-0.000081,-0.000432,0.000099,0.003197,nan,nan,nan,nan,nan,nan,-1,stationary,1347,24000,0
51,1957.199826,-0.000422,-0.000256,0.000094,0.004020,-0.000422,-0.000256,0.000094,0.004020,nan,nan,nan,nan,nan,nan,-1,stationary,1348,24000,0
52,1957.299666,-0.001222,-0.000906,0.000320,0.003877,-0.000021,-0.000431,0.000052,0.005084,-0.0023037673408948587,-0.0008236381393824229,0.003965802427680637,-2.725924118101792e-05,0.9784997006368232,0.002795460935308771,1,mild,1349,24000,1
53,1957.399503,-0.001220,-0.000919,0.000223,0.004443,-0.001220,-0.000919,0.000223,0.004443,nan,nan,nan,nan,nan,nan,-1,stationary,1350,24000,0
54,1957.499354,-0.001230,-0.000937,0.000174,0.007695,-0.001230,-0.000937,0.000174,0.007695,nan,nan,nan,nan,nan,nan,-1,stationary,1351,24000,0
55,1957.599610,-0.001147,-0.000936,0.000123,0.007578,-0.001147,-0.000936,0.000123,0.007578,nan,nan,nan,nan,nan,nan,-1,stationary,1352,24000,0
56,1957.699452,-0.001033,-0.000861,0.000097,0.008814,-0.001033,-0.000861,0.000097,0.008814,nan,nan,nan,nan,nan,nan,-1,stationary,1369,24000,0
57,1957.799301,0.004032,-0.004406,0.001443,0.017478,0.000257,-0.000123,0.000000,0.016594,0.004808243664287978,-0.00623543726236962,0.003160293633040542,0.008981314130593485,0.9751048818143162,0.007066407670844129,1,mild,1408,24000,1
58,1957.899948,0.011343,-0.009690,0.001669,0.028537,0.017759,-0.005483,-0.000131,0.029622,0.005717103853395053,-0.006036859440680341,0.0034116145463749846,0.011195774605200336,0.9734907579477732,0.004758352704311289,1,mild,1454,24000,1
59,1957.999785,0.021480,-0.003826,0.001534,0.032953,0.024994,-0.012723,-0.000260,0.039186,0.009378971342045763,0.007219588115483545,0.00254408393818733,0.004205722724406246,0.976462145046549,0.011295647494214078,1,mild,1490,24000,1
60,1958.099626,0.031980,-0.001371,0.001874,0.028174,0.022040,-0.005202,0.000383,0.035076,0.014664847678726101,0.006690644851933462,-0.00022198327963192594,-0.005594043383330266,0.9750127485699067,0.05364342331948549,1,mild,1273,24000,1
61,1958.199467,0.044372,-0.001649,0.000722,0.016637,0.049814,-0.006933,-0.000144,0.018474,0.011700892131618346,0.0007192729044654615,0.0007852413721999227,-0.011661059013726998,0.9753232979053121,0.004551724921237646,1,mild,1274,24000,1
62,1958.299321,0.054387,-0.012899,0.004493,0.007331,0.055226,-0.010564,0.001099,0.001866,0.011450259754030738,-0.01673627777473773,0.0017615774862304453,-0.006904983229278377,0.9726222771716488,0.19071301764061688,1,mild,1278,24000,1
63,1958.399966,0.078600,-0.025660,0.000647,-0.005835,0.073030,-0.053421,-0.000406,-0.017052,0.019894262755977776,-0.008969200664405343,0.009009449442341973,-0.013112231679429546,0.9690074023203596,0.03998660634927428,1,translating,1286,24000,1
64,1958.499797,0.099992,-0.026677,0.001014,-0.023120,0.098360,-0.025109,0.000165,-0.023753,0.020141735471401606,-0.0014029266296386352,0.004918288914286208,-0.017248910161301412,0.9653485673175177,0.0012099701191509412,1,translating,1303,24000,1
65,1958.599637,0.117560,-0.030454,-0.000866,-0.031392,0.131085,-0.025919,-0.000943,-0.043721,0.015097684151932023,-0.007347217330513155,0.0009232886139859844,-0.00780233897064383,0.9682317797537331,0.039971614614092835,1,translating,1313,24000,1
66,1958.699475,0.136887,-0.032018,0.001160,-0.037817,0.135008,-0.029573,0.000726,-0.038783,0.018789722755800486,-0.0016664336619640584,0.0043007666993707065,-0.00631013279492436,0.9745544522301137,0.00297715883713507,1,translating,1321,24000,1
67,1958.799308,0.159477,-0.034918,0.001491,-0.040566,0.155315,-0.028468,0.000450,-0.044336,0.020220663831618413,-0.005007185773361424,0.008075506905238259,-0.0023952484965867483,0.974101725833064,0.007780076607337879,1,translating,1330,24000,1
68,1958.899960,0.174428,-0.037611,0.003634,-0.041799,0.154040,-0.035093,-0.000400,-0.042689,0.014782320462198323,-0.0023712611815376768,0.006869670709394087,-0.001119344160506867,0.9737877367019531,0.04117650103413273,1,mild,1342,24000,1
69,1958.999810,0.193598,-0.040444,0.001205,-0.047635,0.177048,-0.038018,-0.002176,-0.047394,0.025654371775819307,-0.006000248594472391,0.003888723519884122,-0.0058826952997122865,0.9673801435088175,0.061279170644644096,1,translating,1395,24000,1
70,1959.099657,0.223381,-0.042070,0.001721,-0.052363,0.235739,-0.044509,0.000412,-0.054439,0.02615834879662446,0.0011322637378707243,0.008362769868965367,-0.004606762693304843,0.9729269113916815,0.017797567557487234,1,translating,1453,24000,1
71,1959.199491,0.251598,-0.045785,0.000530,-0.056204,0.252361,-0.043955,-0.000225,-0.054988,0.025558436964180503,-0.002407289573804889,0.00621404598284753,-0.0038252954514100593,0.9739233271639962,0.006355807441326686,1,translating,1507,24000,1
72,1959.299333,0.284917,-0.055692,0.000565,-0.058594,0.285432,-0.051715,-0.000333,-0.063523,0.030325971309240585,-0.010061936120504135,0.009475410359320383,-0.002170357857137388,0.9743735475638321,0.014934423105577143,1,translating,1525,24000,1
73,1959.399981,0.314532,-0.061833,0.000695,-0.060568,0.326177,-0.065984,0.000065,-0.057658,0.02641773962177424,-0.002576329677365305,0.006788151843191192,-0.002062380287063043,0.9721010937577272,0.009378129245984171,1,translating,1538,24000,1
74,1959.499822,0.341692,-0.065121,0.000659,-0.057284,0.345597,-0.068377,-0.000442,-0.059030,0.02437126608969581,-0.0011309854881780337,0.007345560975906515,0.003405714351473871,0.9757781866210302,0.0039030750503756847,1,translating,1544,24000,1
75,1959.599660,0.374061,-0.066460,0.000102,-0.056761,0.367164,-0.071651,-0.000829,-0.050438,0.030666545137456647,0.003275201978124566,0.006059141733799172,0.0003400505345463345,0.968387473057701,0.013983562862208233,1,translating,1551,24000,1
76,1959.699502,0.403355,-0.074262,0.001496,-0.056339,0.411607,-0.074650,0.001003,-0.056444,0.02713312607888574,-0.006130575316824156,0.006642257604981647,0.00045111840051333097,0.9732530550305426,0.005441212451280525,1,translating,1553,24000,1
77,1959.799358,0.425467,-0.082544,0.002630,-0.055241,0.403450,-0.073046,0.000202,-0.056509,0.025265906519597925,-0.009597054335876036,0.004232523044319054,0.0012937407195714723,0.9745572746582337,0.0940251971151108,1,mild,1563,24000,1
78,1959.899624,0.444924,-0.084158,0.001617,-0.054771,0.427156,-0.082636,0.000481,-0.054627,0.03198936155051568,-0.0009026832669120841,-0.005888193631881264,9.183621973915847e-06,0.9714471165984393,0.30985068674058774,1,mild,1591,24000,1
79,1959.999459,0.475298,-0.090430,0.001680,-0.054066,0.464060,-0.086214,0.000139,-0.052476,0.03115692957168681,-0.009271133314301572,0.00525036219336676,0.0008519201220059197,0.9673079900412515,0.012997400127764213,1,translating,1601,24000,1
80,1960.099306,0.496774,-0.094355,0.000023,-0.053847,0.478898,-0.090460,-0.001190,-0.055450,0.030424407769641226,-0.008114798269497167,0.003276690992792158,0.00037667760698978185,0.9716465568756617,0.08008042974828669,1,translating,1519,24000,1
81,1960.199941,0.531513,-0.103064,0.001322,-0.049743,0.509666,-0.097719,-0.000105,-0.050203,0.03794624817792347,-0.010675248905022486,0.0040685415357729115,0.004235463617248216,0.9695794910216337,0.022940812077535098,1,translating,1551,24000,1
82,1960.299761,0.566893,-0.112089,0.002329,-0.044232,0.572646,-0.113368,0.002233,-0.042219,0.033492629731437185,-0.005748108140193706,0.005946060131341642,0.005497527884894824,0.9669963462973176,0.003988348922680951,1,translating,1590,24000,1
83,1960.399604,0.608889,-0.130392,-0.001507,-0.033186,0.600323,-0.120203,-0.002332,-0.038521,0.042105911780578875,-0.020062056469404302,0.000974183928668557,0.011257752950332853,0.9588643580474764,0.016522899699478715,1,translating,1657,24000,1
84,1960.499437,0.636928,-0.140450,-0.000115,-0.015508,0.652671,-0.145654,0.000124,-0.013400,0.028078367839990515,-0.007156311533302276,-0.002173597729136112,0.017488853876831585,0.9607921391699589,0.031758457397466244,1,translating,1681,24000,1
85,1960.599669,0.666552,-0.142430,0.000489,0.000493,0.666026,-0.153773,0.001619,0.004929,0.030892038424829793,0.0033989403186116263,-0.0023168369935406916,0.015654409994079965,0.9660137935704145,0.007192945989478638,1,translating,1690,24000,1
