scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,6049,24000,0
1,1951.899477,-0.000004,-0.000005,0.000001,0.000004,-0.000004,-0.000005,0.000001,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,7893,24000,0
2,1951.999327,-0.000008,-0.000006,0.000002,-0.000037,-0.000008,-0.000006,0.000002,-0.000037,nan,nan,nan,nan,nan,nan,-1,stationary,8523,24000,0
3,1952.099978,-0.000009,-0.000007,0.000002,-0.000045,-0.000009,-0.000007,0.000002,-0.000045,nan,nan,nan,nan,nan,nan,-1,stationary,8843,24000,0
4,1952.199821,-0.000012,-0.000013,0.000002,-0.000070,-0.000012,-0.000013,0.000002,-0.000070,nan,nan,nan,nan,nan,nan,-1,stationary,9093,24000,0
5,1952.299657,-0.000011,-0.000015,0.000004,-0.000032,-0.000011,-0.000015,0.000004,-0.000032,nan,nan,nan,nan,nan,nan,-1,stationary,9291,24000,0
6,1952.399498,-0.000011,-0.000013,0.000004,-0.000012,-0.000011,-0.000013,0.000004,-0.000012,nan,nan,nan,nan,nan,nan,-1,stationary,9447,24000,0
7,1952.499356,-0.000014,-0.000012,0.000007,0.000050,-0.000014,-0.000012,0.000007,0.000050,nan,nan,nan,nan,nan,nan,-1,stationary,9562,24000,0
8,1952.599997,-0.000013,-0.000011,0.000007,-0.000027,-0.000013,-0.000011,0.000007,-0.000027,nan,nan,nan,nan,nan,nan,-1,stationary,9653,24000,0
9,1952.699828,-0.000012,-0.000007,0.000011,-0.000018,-0.000012,-0.000007,0.000011,-0.000018,nan,nan,nan,nan,nan,nan,-1,stationary,9739,24000,0
10,1952.799667,-0.000013,-0.000003,0.000014,-0.000036,-0.000013,-0.000003,0.000014,-0.000036,nan,nan,nan,nan,nan,nan,-1,stationary,9827,24000,0
11,1952.899509,-0.000019,-0.000007,0.000016,-0.000017,-0.000019,-0.000007,0.000016,-0.000017,nan,nan,nan,nan,nan,nan,-1,stationary,9940,24000,0
12,1952.999356,-0.000020,-0.000010,0.000013,-0.000026,-0.000020,-0.000010,0.000013,-0.000026,nan,nan,nan,nan,nan,nan,-1,stationary,10042,24000,0
13,1953.099604,-0.000018,-0.000012,0.000012,-0.000078,-0.000018,-0.000012,0.000012,-0.000078,nan,nan,nan,nan,nan,nan,-1,stationary,10112,24000,0
14,1953.199446,-0.000020,-0.000010,0.000013,-0.000137,-0.000020,-0.000010,0.000013,-0.000137,nan,nan,nan,nan,nan,nan,-1,stationary,10171,24000,0
15,1953.299291,-0.000022,-0.000008,0.000013,-0.000330,-0.000022,-0.000008,0.000013,-0.000330,nan,nan,nan,nan,nan,nan,-1,stationary,10220,24000,0
16,1953.399912,-0.000014,-0.000014,0.000014,-0.000249,-0.000014,-0.000014,0.000014,-0.000249,nan,nan,nan,nan,nan,nan,-1,stationary,10258,24000,0
17,1953.499759,-0.000029,-0.000018,0.000015,-0.000189,-0.000029,-0.000018,0.000015,-0.000189,nan,nan,nan,nan,nan,nan,-1,stationary,10294,24000,0
18,1953.599598,-0.000010,-0.000001,0.000013,-0.000285,-0.000010,-0.000001,0.000013,-0.000285,nan,nan,nan,nan,nan,nan,-1,stationary,10335,24000,0
19,1953.699431,-0.000005,-0.000003,0.000011,-0.000180,-0.000005,-0.000003,0.000011,-0.000180,nan,nan,nan,nan,nan,nan,-1,stationary,10376,24000,0
20,1953.799668,-0.000008,-0.000006,0.000012,-0.000262,-0.000008,-0.000006,0.000012,-0.000262,nan,nan,nan,nan,nan,nan,-1,stationary,10305,24000,0
